role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ashish Kumar Modi,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1922c03a-e863-42a0-94af-9ac27aad33a8.pdf
Chairman,Atul Vinayak Pai,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0b1e6776-6b85-4993-88c9-fff7d473424f.pdf
Chairman,Ganesh Natarajan,,,"FY2022,FY2024,FY2025,FY2026",current,https://www.bseindia.com/bseplus/AnnualReport/517174/73872517174.pdf
Chairman,Neera Saggi,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c5f5ab68-647c-402b-accb-f1be18c22ed7.pdf
Managing Director,Atul Vinayak Pai,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0b1e6776-6b85-4993-88c9-fff7d473424f.pdf
CFO,Pulkit Goyal,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a11adafd-d692-4483-b5e7-ea347fe5026c.pdf
Chairman,Akshay	Bellare,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/517174/73872517174.pdf
Chairman,Ashish Gaikwad,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c5f5ab68-647c-402b-accb-f1be18c22ed7.pdf
Managing Director,Ashish	Gaikwad,,,FY2022–FY2025,exited,https://www.bseindia.com/bseplus/AnnualReport/517174/73872517174.pdf
Managing Director,Ashish	Gaikwad-,any has formulated a policy for its CSR which may be viewed on the Company’s website at https:// www.honeywell.com/content,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/517174/73872517174.pdf
Managing Director,Ashish Gaikwad Chairman,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c5f5ab68-647c-402b-accb-f1be18c22ed7.pdf
