role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ram Dayal Modi,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a993cc62-6820-40d7-805e-16684c3e77df.pdf
Chairman,Raman Uberoi,Master’s degree in Business Administration from University of Pune. He has an experience of 30 y,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81cc318a-fdc7-44f3-9038-73524528ff5b.pdf
Chairman,Sharad Jain,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/533581/72251533581.pdf
Managing Director,Vikas Gupta,"a Master’s Degree in Business Administration from University of Pune. He is responsible for business operations, strategy, industry relat",36 years of experience spread across both in operations and senior manag,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/533581/72251533581.pdf
Managing Director,Vishal Gupta,a Master’s Degree in Business Administration from University of Pune. He has an experience of 26 years in the field of electronic manufact,rtiya Vidya Bhawan. He holds 36 years of experience spread across both in operations and senior manag,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/533581/72251533581.pdf
CFO,Deepesh Kedia,"nstitute of Technology, Kharagpur in 1996 with a B.Tech. (Hons.) in Electronics and Communication. He is also MBA in Financ","Management, Lucknow. He has over 15 years of experience in Indian equity markets across brokerage firms,",FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81cc318a-fdc7-44f3-9038-73524528ff5b.pdf
CFO,Pramod Chimmanlal Gupta,"lectronics Engineering from Mumbai University and MBA from Cardiff Business School, U.K. She is a member of Nomination & R","n from lIT, Kharagpur. He has over 22 years of experience in Indian Equity markets across brokerage firms,",FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/533581/72251533581.pdf
Chairman,Anurag Gupta,a Master’s Degree in Business Administration from University of Pune. He has an experience of 26 years in the field of electronic manufact,wan. He holds 37 years of experience spread across both in operations and senior manag,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/533581/72251533581.pdf
Chairman,Vishal Gupta,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/533581/76850533581.pdf
Managing Director,Anurag Gupta,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/533581/72251533581.pdf
Managing Director,"Bhawa Nand 
Choudhary",,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/533581/72251533581.pdf
