role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Chetankumar Vaghasia,,,"FY2022,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
Chairman,Girkrishna Maniar,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
Chairman,Hetal Gandhi,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
Chairman,Nareshkumar Patel,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
Chairman,Ram Mohan Lokhande,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/429b0d50-1fed-41eb-a627-ea0a3a29e6eb.pdf
Chairman,Richa Goyal,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
Managing Director,"Nareshkumar 
Ramjibhai Patel",,,"FY2022,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
Managing Director,"Virendra Nath 
Mishra",,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/429b0d50-1fed-41eb-a627-ea0a3a29e6eb.pdf
CFO,"Bhavin 
Shah","ng and being eligible, he has offered himself to be re-appointed as Director. The",,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bac2eb1b-c4a4-496a-8ed9-e937426750d3.pdf
Chairman,Girikrishna Maniar,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
Managing Director,"Naresh 
Kumar Patel",,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
Managing Director,Nareshkumar Patel,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
CFO,Abhishek Patel,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/543349/73777543349.pdf
