nse_symbol,status
AADHARHFC,skip:current_through_FY2026
AARTIPHARM,skip:current_through_FY2025
ABBOTINDIA,skip:current_through_FY2026
ABCAPITAL,skip:current_through_FY2026
ABDL,skip:current_through_FY2026
ABLBL,skip:current_through_FY2026
ABFRL,skip:current_through_FY2026
ABREL,skip:current_through_FY2026
ABSLAMC,skip:current_through_FY2026
ACE,skip:current_through_FY2025
ACI,skip:current_through_FY2026
ACMESOLAR,skip:current_through_FY2025
ACUTAAS,skip:current_through_FY2025
ABB,no_extractable_people:dl=5
AAVAS,ok:ars_listed=5:downloaded=5:people_unique=8
ADANIENSOL,no_extractable_people:dl=5
ADANIENT,no_extractable_people:dl=5
AARTIIND,ok:ars_listed=5:downloaded=5:people_unique=4
ADVENZYMES,skip:current_through_FY2026
AEGISLOG,skip:current_through_FY2026
AEGISVOPAK,skip:current_through_FY2026
AEQUS,no_annual_reports
ADANIGREEN,no_extractable_people:dl=5
AETHER,skip:current_through_FY2025
AFCONS,skip:current_through_FY2026
AFFLE,skip:current_through_FY2025
AGARWALEYE,skip:current_through_FY2025
AHLUCONT,skip:current_through_FY2025
AIIL,skip:current_through_FY2025
ADANIPOWER,no_extractable_people:dl=5
AKUMS,skip:current_through_FY2026
ADANIPORTS,no_extractable_people:dl=5
ALIVUS,skip:current_through_FY2025
ALKEM,skip:current_through_FY2026
ALKYLAMINE,skip:current_through_FY2026
ALOKINDS,skip:current_through_FY2026
AMBER,skip:current_through_FY2025
ANANDRATHI,skip:current_through_FY2026
ACC,ok:ars_listed=5:downloaded=5:people_unique=8
ANGELONE,skip:current_through_FY2026
ANANTRAJ,no_extractable_people:dl=5
ANUP,skip:current_through_FY2026
ANURAS,skip:current_through_FY2025
AJANTPHARM,ok:ars_listed=5:downloaded=5:people_unique=3
APLAPOLLO,skip:current_through_FY2025
ANTHEM,no_extractable_people:dl=1
APOLLO,skip:current_through_FY2025
APOLLOHOSP,skip:current_through_FY2026
AMBUJACEM,ok:ars_listed=5:downloaded=5:people_unique=3
APTUS,skip:current_through_FY2026
AIAENG,no_extractable_people:dl=5
ARVINDFASN,skip:current_through_FY2026
ASAHIINDIA,skip:current_through_FY2025
ASHAPURMIN,skip:current_through_FY2025
ASHOKA,skip:current_through_FY2025
ASHOKLEY,skip:current_through_FY2026
APLLTD,ok:ars_listed=5:downloaded=5:people_unique=3
ASKAUTOLTD,skip:current_through_FY2026
ASTERDM,skip:current_through_FY2025
ASTRAL,skip:current_through_FY2026
ASTRAMICRO,skip:current_through_FY2025
APOLLOTYRE,ok:ars_listed=5:downloaded=5:people_unique=2
ATHERENERG,skip:current_through_FY2026
ATLANTAELE,no_annual_reports
ATUL,skip:current_through_FY2026
APARINDS,ok:ars_listed=5:downloaded=5:people_unique=3
AURIONPRO,skip:current_through_FY2025
ATGL,no_extractable_people:dl=5
ARVIND,ok:ars_listed=5:downloaded=5:people_unique=10
AVALON,skip:current_through_FY2025
AVANTIFEED,skip:current_through_FY2026
AVL,skip:current_through_FY2025
AWFIS,skip:current_through_FY2025
AWL,skip:current_through_FY2026
AXISCADES,skip:current_through_FY2025
AZAD,skip:current_through_FY2025
BAJAJ-AUTO,skip:current_through_FY2026
AXISBANK,no_extractable_people:dl=5
ASIANPAINT,ok:ars_listed=5:downloaded=5:people_unique=1
BAJAJHLDNG,skip:current_through_FY2026
AUROPHARMA,ok:ars_listed=5:downloaded=5:people_unique=1
BALAMINES,skip:current_through_FY2026
BAJAJELEC,ok:ars_listed=5:downloaded=5:people_unique=6
BAJAJHFL,no_extractable_people:dl=2
BALUFORGE,skip:current_through_FY2025
BALRAMCHIN,ok:ars_listed=5:downloaded=5:people_unique=1
BALKRISIND,ok:ars_listed=5:downloaded=5:people_unique=2
BANKBARODA,skip:current_through_FY2026
BAJFINANCE,ok:ars_listed=5:downloaded=5:people_unique=2
BANCOINDIA,no_extractable_people:dl=5
BATAINDIA,skip:current_through_FY2026
BAYERCROP,skip:current_through_FY2026
BBOX,skip:current_through_FY2025
AUBANK,ok:ars_listed=5:downloaded=5:people_unique=4
