role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,"Bhaskar 
Rao Bollineni",,,"FY2022,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/543308/73772543308.pdf
Chairman,Bhaskara Rao Bollineni,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/285b97ea-b617-4cba-b186-8d819491876f.pdf
Chairman,Gullapalli Nageswara Rao,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/83bacca1-aa4f-4f38-a9c1-fd8d1a802c48.pdf
Managing Director,Anitha Dandamudi,,"n Cardiothoracic surgeon with over 30 years of experience and more than 30,000 surgeries to his credit. He","FY2022,FY2023,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/543308/73772543308.pdf
CEO,Abhinay Bollineni,he corporate world. “IT IS GOOD TO BIG BETTER TO BE GOOD AND BEST TO BE BOTH” We intend to be both in our journey ahead.,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/543308/73772543308.pdf
CFO,"Sachin Ashok 
Salvi","ute of Company Secretaries of India. She holds a B.A. (Honours) in Economics from Delhi University,","s a Chartered Accountant with over 20 years of experience in finance, accounting, financial reporting, and",FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/83bacca1-aa4f-4f38-a9c1-fd8d1a802c48.pdf
Chairman,Krishna Ella,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/83bacca1-aa4f-4f38-a9c1-fd8d1a802c48.pdf
Chairman,Pankaj Vaish,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/285b97ea-b617-4cba-b186-8d819491876f.pdf
Chairman,Rajeswara Rao Gandu,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/285b97ea-b617-4cba-b186-8d819491876f.pdf
Chairman,Saumen Chakraborty,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/285b97ea-b617-4cba-b186-8d819491876f.pdf
Managing Director,Bhavani Annapareddy,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/83bacca1-aa4f-4f38-a9c1-fd8d1a802c48.pdf
Managing Director,Dandamudi Anitha,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/285b97ea-b617-4cba-b186-8d819491876f.pdf
CFO,Vikas Maheshwari,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/543308/73772543308.pdf
