role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Chakresh Kumar Jain,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/539150/71891539150.pdf
Chairman,Pradeep Kumar Jain,"or the time being in force) consent of the member be and is hereby accorded to re-appoint Mr. Pradeep Kumar Jain, Chair",,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/539150/71891539150.pdf
Managing Director,Anil Kumar Rao,,"Mr. Chakresh Kumar Jain has over 34 years of experience in development of infrastructure sector, such as",FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/539150/71891539150.pdf
Managing Director,Chakresh Kumar Jain,"dit Committee and Board, consent of the Members, be and is hereby accorded for appointment of M/s. DR Associates, Compa",,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/539150/71891539150.pdf
Managing Director,Talluri Raghupati Rao,"in force) consent of the members of the Company be and is hereby accorded to re-appoint Mr. Talluri Raghupati Rao, as W","Kumar Jain Managing Director Over 25 years of experience in planning, execution, supervision of work start",FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/539150/71891539150.pdf
Managing Director,Yogesh Jain,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/deba3cdf-a1f3-4201-9870-f3db7e9f72f7.pdf
Managing Director,Yogesh Kumar Jain,"the time being in force) consent of the members be and is hereby accorded to re-appoint Mr. Yogesh Kumar Jain, Managing",,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/539150/71891539150.pdf
CFO,Devendra Kumar Agarwal,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/663267f2-477d-4546-99b7-b6c1c9fb069a.pdf
Chairman,"Subhash Chander 
Kalia",,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/539150/76485539150.pdf
Managing Director,Talluri RaghupatiRao,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/28c3a2ae-7e60-42cc-885c-ed36df8e03b9.pdf
CFO,Bhupinder Kumar Sawhney,,,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/539150/71891539150.pdf
