role,name,qualification,experience,years_present,status,first_seen_in_ar
Managing Director,Praveen Someshwar,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0412136e-1b49-4b6e-867b-7b4a833881f6.pdf
Managing Director,Anand Kripalu,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532432/69199532432.pdf
CFO,Pradeep  Jain,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a9f48c17-7320-41cd-8732-3fa67c480f1e.pdf
