role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Parveen Gupta,,"by profession with more than 14 years of experience in the fields of Statutory Compliances, RBI Aud",FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540725/69742540725.pdf
Chairman,Sachin Gupta,"of generosity; rather, it signifies the pledge to be relevant and meaningful contributors to the community in which the C",,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2f3aae68-3b08-4219-a4fa-812d1d763600.pdf
Managing Director,Kamlesh Vadilal Shah,holds a degree of Bachelors in Commerce from the University of Bombay and having an overall experience of more than 25 years in the financ,"by profession with more than 14 years of experience in the fields of Statutory Compliances, RBI Aud",FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540725/69742540725.pdf
Managing Director,Suresh Kumar Arora,"or of our Company. He is a Chartered Accountant, M.Com from Mumbai University and also cleared CFA-Level 2 (USA) in 2017.",ran in the stock markets with over 31 years of experience in broking and financing. His astute wisdom and a,"FY2022,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/540725/74905540725.pdf
Managing Director,Vijay Vora,,"14 years of experience in the fields of Statutory Compliances, RBI Aud","FY2023,FY2025",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2f3aae68-3b08-4219-a4fa-812d1d763600.pdf
CFO,Vijay Kumar Rana,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/540725/69742540725.pdf
Chairman,Rajesh Gupta,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f0654e3c-5fc5-4904-9f4f-91ab57eff245.pdf
Managing Director,Saroj Gupta,,,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/540725/69742540725.pdf
Managing Director,Suresh Arora,,"by profession with more than 14 years of experience in the fields of Statutory Compliances, RBI Aud",FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2f3aae68-3b08-4219-a4fa-812d1d763600.pdf
CEO,Sachin Gupta,,"by profession with more than 14 years of experience in the fields of Statutory Compliances, RBI Aud",FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2f3aae68-3b08-4219-a4fa-812d1d763600.pdf
