role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Adabala Seshagiri Rao,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/19bc8604-46df-4b0e-a589-fb65361419de.pdf
Chairman,"Ande Prathap 
Reddy",,eer by Qualification; He has over 48 Years of experience across varied industries. (Age - 72 Years.)27t,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad555b1e-942e-4538-b191-8e9c77273d77.pdf
Chairman,Mohan Kumar Ramakrishna,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/19bc8604-46df-4b0e-a589-fb65361419de.pdf
Chairman,Uma Rajiv Pradhan,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1ab17854-bdab-4b29-a902-5bc6299654b6.pdf
Managing Director,Ande Srinivas Reddy,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad555b1e-942e-4538-b191-8e9c77273d77.pdf
Managing Director,Dundurapu Ram Reddy,,eer by Qualification; He has over 48 Years of experience across varied industries. (Age - 72 Years.)27t,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad555b1e-942e-4538-b191-8e9c77273d77.pdf
Managing Director,Rajeshwar Reddy Nomula,,eer by Qualification; He has over 48 Years of experience across varied industries. (Age - 72 Years.)27t,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad555b1e-942e-4538-b191-8e9c77273d77.pdf
Managing Director,Ram Reddy Dundurapu,eful to attain sustainable development. This will be a roadmap to the Company’s ESG plans. 85 STATUTORY REPORTS CORPORATE,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/97bc1162-b7c5-4789-b546-a3b4f552858a.pdf
Chairman,Suhasini Yatin Shah,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/97bc1162-b7c5-4789-b546-a3b4f552858a.pdf
Managing Director,Hemanth Reddy Gaddam,"e 2nd February, 1955 (70 years) 3. Qualifications B. Com 4. Experience He has more than 40 years of experience in the manageme",. Experience He has more than 40 years of experience in the management and general administration of,"FY2023,FY2025",exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ad555b1e-942e-4538-b191-8e9c77273d77.pdf
Managing Director,Nomula Rajeshwar Reddy,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/97bc1162-b7c5-4789-b546-a3b4f552858a.pdf
