role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Manish Vijaykumar Gupta,"ns. A Certificate to this effect, duly signed by CS Niraj Trivedi, Practicing Company Secretary is annexed to Corporate",,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ba616b23-7518-4d2e-bcfc-d8e4ac6b304b.pdf
Chairman,Sandeep Mohanraj Singhi,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ba616b23-7518-4d2e-bcfc-d8e4ac6b304b.pdf
Chairman,Vishwavir Saran Das,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/524226/69384524226.pdf
CFO,Giridhar Nagaraj,"ns. A Certificate to this effect, duly signed by CS Niraj Trivedi, Practicing Company Secretary is annexed to Corporate",,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f3bea28d-6577-4fd2-9f39-5eb4f81078ad.pdf
Chairman,Manish Gupta,"ns. A Certificate to this effect, duly signed by CS Niraj Trivedi, Practicing Company Secretary is annexed to Corporate",,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/524226/69384524226.pdf
Chairman,Manish Kumar Gupta,"Mr. Vishwavir Saran Das, aged 69 years, holds an MBA degree (Specialisation in HRM), a bachelor’s degree in Economics and",,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f3bea28d-6577-4fd2-9f39-5eb4f81078ad.pdf
Chairman,Rohit Patel,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/524226/69384524226.pdf
Chairman,Sandeep Singhi,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/524226/69384524226.pdf
CFO,Dinesh Shah,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/524226/69384524226.pdf
CFO,Nagaraj Giridhar,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f3bea28d-6577-4fd2-9f39-5eb4f81078ad.pdf
