role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Bhavna Doshi,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a145f970-be38-4f6c-88fc-ac75938e5e34.pdf
Chairman,Kalpana Morparia,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a145f970-be38-4f6c-88fc-ac75938e5e34.pdf
Chairman,Keki Mistry,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a145f970-be38-4f6c-88fc-ac75938e5e34.pdf
Chairman,Raju Shukla,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a145f970-be38-4f6c-88fc-ac75938e5e34.pdf
Managing Director,Viren Rasquinha,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=596cc389-0bd6-4dc7-8f37-a540b06aa948.pdf
Chairman,Cyrus Guzder,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500620/73428500620.pdf
Chairman,Rita Bhagwati,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/fc0cafe0-c0a9-46a3-8e38-95d32ceaad20.pdf
Chairman,"Rita Bhagwati
Deputy",,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/fc0cafe0-c0a9-46a3-8e38-95d32ceaad20.pdf
Chairman,Shivshankar Menon,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/81d9e7ac-4252-4ecf-846f-81724b6bddc0.pdf
Chairman,Vineet Nayyar,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500620/73428500620.pdf
Chairman,"Vineet Nayyar
Deputy",,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500620/73428500620.pdf
