role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ajay Sood,quarterly basis. NOMINA TION AND REMUNERA TION COMMIT TEE The Board has constituted Nomination and Remuneration Committee c,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/56077710-fea5-4439-857d-50afed548a09.pdf
Chairman,Soumitra Hazra,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/56077710-fea5-4439-857d-50afed548a09.pdf
Chairman,Sanjay Koul,,,"FY2021,FY2022,FY2024",exited,https://www.bseindia.com/bseplus/AnnualReport/522113/69182522113.pdf
