role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Aniket Talati,", Chairman of the Audit Committee is a Qualified CA & fellow member of Institute of Chartered Accountants of India, and",,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6c3c7994-3b64-463f-a4ca-e29397d302a9.pdf
Chairman,Chirag Shah,"rograms, projects and activities undertaken or to be undertaken by the company, suitable monitoring system has been put i",,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a839073a-766d-472c-9825-274275ad7191.pdf
Chairman,Sanjay Rameshchandra Shah,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c2fdccfa-0ee0-4f09-899d-8f0e86a91b42.pdf
Chairman,Sanjay Shah,,"n Computer Applications, with 22 years of experience in wealth management. Previously worked with ICIC",FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/543527/76157543527.pdf
Managing Director,"Sanjay 
Rameshchandra 
ShahChairperson",,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a839073a-766d-472c-9825-274275ad7191.pdf
Managing Director,"Sanjay 
Rameshchandra 
ShahMember",,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6c3c7994-3b64-463f-a4ca-e29397d302a9.pdf
Managing Director,Shirish Govindbhai Patel,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c2fdccfa-0ee0-4f09-899d-8f0e86a91b42.pdf
Managing Director,Shirish Patel,l dividend of ₹ 1/- per equity share for 2021-22 be and is hereby declared and approved and the same be paid to those sha,,"FY2022,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/543527/76157543527.pdf
CFO,Chiragkumar Bansilal Kothari,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c2fdccfa-0ee0-4f09-899d-8f0e86a91b42.pdf
Chairman,Karan Datta,"rograms, projects and activities undertaken or to be undertaken by the company, suitable monitoring system has been put i",,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/543527/76157543527.pdf
Chairman,Karan Kailash Datta,"rograms, projects and activities undertaken or to be undertaken by the company, suitable monitoring system has been put i",,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c2fdccfa-0ee0-4f09-899d-8f0e86a91b42.pdf
Chairman,"Sanjay 
Rameshchandra 
ShahChairperson",,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6c3c7994-3b64-463f-a4ca-e29397d302a9.pdf
Managing Director,"Chirag 
Ashwinkumar 
ShahMember",,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6c3c7994-3b64-463f-a4ca-e29397d302a9.pdf
Managing Director,Chirag Ashwinkumar Shah,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c2fdccfa-0ee0-4f09-899d-8f0e86a91b42.pdf
Managing Director,Chirag Shah,,"n Computer Applications, with 22 years of experience in wealth management. Previously worked with ICIC",FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/543527/76157543527.pdf
Managing Director,Sanjay Rameshchandra Shah,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c2fdccfa-0ee0-4f09-899d-8f0e86a91b42.pdf
Managing Director,Sanjay Shah,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/543527/76157543527.pdf
CEO,"Shirish 
Patel",,"n Computer Applications, with 22 years of experience in wealth management. Previously worked with ICIC",FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/543527/76157543527.pdf
