role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,"Arjun 
Kumar",,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/9f29d2b9-a892-4e37-bc3d-733687a99233.pdf
Chairman,Sanjiv Goenka,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500084/69098500084.pdf
Managing Director,Brajesh Singh,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/aec249c9-cf1b-4fea-940a-5ddc62c55553.pdf
Managing Director,Debasish Banerjee,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500084/69098500084.pdf
Managing Director,Rabi Chowdhury,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500084/69098500084.pdf
Managing Director,Vineet Sikka,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/aec249c9-cf1b-4fea-940a-5ddc62c55553.pdf
Chairman,Chandra Kumar Dhanuka,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500084/69098500084.pdf
Chairman,Pradip Kumar Khaitan,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500084/69098500084.pdf
Managing Director,Debasish BanerjeeMember,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0b6cfb5f-8973-4fec-97f3-2a852ec51ab9.pdf
Managing Director,Rabi ChowdhuryMember,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0b6cfb5f-8973-4fec-97f3-2a852ec51ab9.pdf
