role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Dinesh Thakkar,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/543235/72977543235_12_05_22.pdf
Chairman,Dinesh Thakkar Chairperson,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/39c25002-bc15-4845-8714-4edd9811f6af.pdf
Chairman,Dinesh Thakkar Promoter,,,"FY2022,FY2023,FY2025,FY2026",current,https://www.bseindia.com/bseplus/AnnualReport/543235/72977543235_12_05_22.pdf
Managing Director,Dinesh Thakkar,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8a3dd74f-4f43-40ac-8ba2-f5f1c1dd6128.pdf
CFO,Vineet Agrawal,,,"FY2024,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b04f1756-3d4e-4b07-9917-54a6664500be.pdf
Chairman,Dinesh Thakkar Chairman,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/543235/72977543235_12_05_22.pdf
Managing Director,Amit Majumdar,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/36cfd4ef-c9ff-4142-850d-cc014c9f4810.pdf
Managing Director,Ketan Shah,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b04f1756-3d4e-4b07-9917-54a6664500be.pdf
CEO,Hemen Bhatia,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b04f1756-3d4e-4b07-9917-54a6664500be.pdf
CEO,Srikanth Subramanian,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b04f1756-3d4e-4b07-9917-54a6664500be.pdf
CFO,Vineet Agarwal,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/36cfd4ef-c9ff-4142-850d-cc014c9f4810.pdf
