role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Sanjiv Singh,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/530965/69218530965.pdf
Chairman,Shrikant Madhav Vaidya,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/530965/69218530965.pdf
Chairman,Tarun Kapoor,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/530965/69218530965.pdf
Managing Director,Gurmeet Singh,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/530965/69218530965.pdf
Managing Director,Sandeep Kumar Gupta,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/530965/69218530965.pdf
Managing Director,Satish Kumar Vaduguri,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/530965/74097530965.pdf
Managing Director,Shrikant Madhav Vaidya,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/530965/69218530965.pdf
Managing Director,Sujoy Choudhury,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/530965/74097530965.pdf
Managing Director,Sukla Mistry,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/530965/74097530965.pdf
CEO,Ajit Kumar Thakur,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/24a0940c-fa5a-4e36-a404-9dab3637ea0c.pdf
CFO,Sanjay Kaushal,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ae413f27-7b30-4cdb-8f1b-8d82e5914e54.pdf
