role,name,qualification,experience,years_present,status,first_seen_in_ar
CFO,Anjana Luthra,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5bfc82cf-cf35-4f6d-9d47-c00b6583a3bc.pdf
Chairman,Ravindra Kumar Tyagi,and has completed M(Tech) in Energy Studies from IIT Delhi. Shri Tyagi is a Fulbright Scholar from Carnegie Mellon Universi,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/80d2fc91-a7ad-4085-bc5c-117a7a63b0c6.pdf
