role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Arun Duggal,"dia. A Mechanical Engineer from the prestigious IIT – Delhi, he also holds an MBA from IIM Ahmedabad. He is currently the",,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/28df5106-d74e-44a2-9fde-139e6b3c370d.pdf
Chairman,Sumit Bose,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/506943/73945506943.pdf
Managing Director,Aman Mehta,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be26eea2-6319-4b01-9d7a-6ea10258883e.pdf
CEO,Nikhil Chopra,"llowing special/ordinary resolutions, which could be considered as having major bearing on the Company’s affairs in pursu",,"FY2022,FY2023,FY2024,FY2026",current,https://www.bseindia.com/bseplus/AnnualReport/506943/73945506943.pdf
CFO,Kaushal Singh Solanki,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be26eea2-6319-4b01-9d7a-6ea10258883e.pdf
CFO,Narayan Saraf,,,"FY2024,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/28df5106-d74e-44a2-9fde-139e6b3c370d.pdf
Chairman,Padmini Khare Kaicker,"Kaicker, Chairperson, Mr. Ranjit Shahani, Mr. Sumit Bose and Mr. Prashant Kumar. There has been no instance of non-accep",,FY2022–FY2025,exited,https://www.bseindia.com/bseplus/AnnualReport/506943/73945506943.pdf
Chairman,Ranjit Gobindram Shahani,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/506943/73945506943.pdf
Chairman,Ranjit Shahani,as CEO-India Business for Cipla Ltd. He holds an M.Sc. in Organic Chemistry from Gujarat University. Mr. Ranjit Shahani Ch,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/506943/73945506943.pdf
CFO,Lakshay Kataria,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/506943/73945506943.pdf
