role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ashok Gulati,Balram Singh Yadav (DIN: 00294803) has ceased to be the Managing Director of the Company due to superannuation from t,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a20f9a2f-b478-4d22-b76a-86d94efdb24b.pdf
Chairman,Burjis	Godrej,drej holds a BS and MS in Earth Systems from Stanford University and an MBA from Harvard Business School. Past Remuneratio,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04ba034f-b9a6-4c77-a847-dd8023abe118.pdf
Chairman,Mallika Mutreja,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a20f9a2f-b478-4d22-b76a-86d94efdb24b.pdf
Chairman,Nadir Godrej,,,"FY2022,FY2023,FY2025,FY2026",current,https://www.bseindia.com/bseplus/AnnualReport/540743/73525540743.pdf
Chairman,Pirojsha Godrej,ny. Brief Profile / Resume of the DirectorMs. Nisaba Godrej is the Non-Executive Director of Godrej Agrovet Limited. Ms,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04ba034f-b9a6-4c77-a847-dd8023abe118.pdf
Chairman,Ritu Anand,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6c6b37b5-5045-4b9a-bdbe-02c119517b40.pdf
Managing Director,Balram Singh Yadav,,,FY2023–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6c6b37b5-5045-4b9a-bdbe-02c119517b40.pdf
CEO,Nisaba GodrejMember,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04ba034f-b9a6-4c77-a847-dd8023abe118.pdf
CEO,Ritu VermaMember,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04ba034f-b9a6-4c77-a847-dd8023abe118.pdf
CEO,Roopa PurushothamanMember,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04ba034f-b9a6-4c77-a847-dd8023abe118.pdf
CEO,Sunil Kataria,,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/592e795d-d24a-41cb-885f-35282765a709.pdf
Chairman,Nadir Burjor Godrej,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/540743/73525540743.pdf
Chairman,Natarajan Srinivasan,,,FY2023–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6c6b37b5-5045-4b9a-bdbe-02c119517b40.pdf
Chairman,Neeyati Shah,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6c6b37b5-5045-4b9a-bdbe-02c119517b40.pdf
