role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Randeep Singh Jauhar,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/520051/70102520051.pdf
Managing Director,PS Jauhar,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f924e340-67e4-4199-9a5a-f6080d928158.pdf
Managing Director,Pradeep Singh Jauhar,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/520051/70102520051.pdf
Chairman,Bhupinder Singh Jauhar,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/520051/70102520051.pdf
Chairman,Shashi Bansal,,,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/520051/70102520051.pdf
Chairman,Shashi Bhushan Bansal,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/520051/70102520051.pdf
Chairman,Uma Kant Singhal,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f924e340-67e4-4199-9a5a-f6080d928158.pdf
CFO,Shakti Goyal,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/520051/73915520051.pdf
