role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Arun Seth,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b89c9b6-ec2b-4ba5-a6e2-18da3e248311.pdf
Chairman,Pradeep Banerjee,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b89c9b6-ec2b-4ba5-a6e2-18da3e248311.pdf
Chairman,Siraj Azmat Chaudhry,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b89c9b6-ec2b-4ba5-a6e2-18da3e248311.pdf
Chairman,Sudha Pillai,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b89c9b6-ec2b-4ba5-a6e2-18da3e248311.pdf
Chairman,"Sushil Kumar 
Roongta",,,"FY2024,FY2026",current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/544b4531-2eb0-4570-b3c5-ecd35ece9752.pdf
