,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0
Reserves,,1604.0,1659.0,1676.0,1714.0,1805.0,1756.0,1760.0,1827.0,1830.0,1854.0,1905.0
Borrowings,,0.0,0.0,0.0,0.0,58.0,47.0,47.0,79.0,79.0,63.0,37.0
Other Liabilities,,282.0,331.0,296.0,348.0,282.0,363.0,442.0,479.0,544.0,535.0,598.0
Total Liabilities,,2369.0,2473.0,2456.0,2546.0,2629.0,2649.0,2733.0,2869.0,2936.0,2935.0,3024.0
Fixed Assets,,1342.0,1676.0,1686.0,1590.0,1583.0,1467.0,1408.0,1363.0,1358.0,1329.0,1295.0
CWIP,,392.0,92.0,32.0,45.0,6.0,53.0,49.0,95.0,81.0,83.0,286.0
Investments,,174.0,206.0,228.0,259.0,286.0,290.0,294.0,315.0,321.0,338.0,355.0
Other Assets,,462.0,499.0,509.0,651.0,754.0,839.0,981.0,1096.0,1177.0,1186.0,1088.0
Total Assets,,2369.0,2473.0,2456.0,2546.0,2629.0,2649.0,2733.0,2869.0,2936.0,2935.0,3024.0
Land,Fixed Assets,32.19,32.19,32.19,32.19,40.23,39.13,38.19,37.24,36.3,35.35,
Building,Fixed Assets,410.92,584.48,616.1,620.06,624.23,633.21,652.51,657.29,715.5,770.48,
Plant Machinery,Fixed Assets,581.28,844.7,924.75,936.5,1027.83,1014.87,1025.32,1065.61,1071.93,1081.27,
Ships Vessels,Fixed Assets,0.0,386.92,386.92,386.92,386.92,386.92,386.92,386.92,386.92,386.92,
Furniture n fittings,Fixed Assets,0.89,1.17,1.74,2.06,2.32,0.0,3.07,3.2,3.37,3.45,
Railway sidings,Fixed Assets,23.27,23.27,23.31,23.31,23.31,23.31,38.91,38.91,47.13,47.92,
Vehicles,Fixed Assets,1.73,2.4,2.2,2.43,2.4,2.11,2.51,2.72,3.26,3.26,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61
Other fixed assets,Fixed Assets,389.08,2.9,4.03,4.11,4.28,6.44,5.68,6.95,8.94,9.56,
Gross Block,Fixed Assets,1439.36,1878.03,1991.24,2007.58,2111.52,2105.99,2153.11,2198.84,2273.35,2338.21,
Accumulated Depreciation,Fixed Assets,96.99,201.85,304.96,417.52,528.99,638.73,744.9,835.69,915.27,1009.42,
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,58.49,46.53,47.08,79.44,79.21,63.36,36.87
Trade Payables,Other Liabilities,14.0,26.0,28.0,33.0,30.0,34.0,44.0,66.0,60.0,47.0,57.0
Advance from Customers,Other Liabilities,19.0,22.0,18.0,19.0,15.0,14.0,9.0,6.0,8.0,6.0,
Other liability items,Other Liabilities,249.0,284.0,250.0,297.0,238.0,315.0,389.0,407.0,475.0,482.0,541.0
Inventories,Other Assets,15.0,16.0,14.0,8.0,8.0,10.0,10.0,8.0,9.0,10.0,12.0
Trade receivables,Other Assets,29.0,29.0,26.0,51.0,46.0,48.0,52.0,86.0,58.0,48.0,44.0
Cash Equivalents,Other Assets,295.0,352.0,432.0,534.0,650.0,725.0,856.0,895.0,1045.0,1069.0,676.0
Loans n Advances,Other Assets,6.0,8.0,12.0,6.0,8.0,6.0,14.0,17.0,12.0,11.0,5.0
Other asset items,Other Assets,116.0,94.0,26.0,52.0,44.0,48.0,50.0,91.0,54.0,48.0,351.0
