,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,950.0,950.0,950.0,950.0,950.0,950.0,950.0
Reserves,,239.0,330.0,340.0,403.0,469.0,567.0,655.0
Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,250.0
Other Liabilities,,14757.0,21306.0,25925.0,29957.0,37332.0,41397.0,46201.0
Total Liabilities,,15946.0,22586.0,27215.0,31310.0,38751.0,42914.0,48057.0
Fixed Assets,,32.0,37.0,70.0,73.0,77.0,42.0,31.0
CWIP,,4.0,7.0,4.0,5.0,2.0,4.0,6.0
Investments,,15374.0,21871.0,26266.0,30179.0,37357.0,41166.0,46118.0
Other Assets,,536.0,671.0,875.0,1053.0,1314.0,1702.0,1901.0
Total Assets,,15946.0,22586.0,27215.0,31310.0,38751.0,42914.0,48057.0
Building,Fixed Assets,5.0,5.0,12.0,12.0,14.0,14.0,16.0
Equipments,Fixed Assets,3.0,4.0,4.0,5.0,4.0,4.0,4.0
Computers,Fixed Assets,56.0,53.0,61.0,68.0,69.0,62.0,57.0
Furniture n fittings,Fixed Assets,3.0,3.0,4.0,5.0,5.0,5.0,5.0
Vehicles,Fixed Assets,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Other fixed assets,Fixed Assets,99.0,110.0,142.0,156.0,168.0,150.0,153.0
Gross Block,Fixed Assets,168.0,175.0,224.0,246.0,260.0,235.0,235.0
Accumulated Depreciation,Fixed Assets,136.0,138.0,154.0,173.0,182.0,193.0,205.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,250.0
Trade Payables,Other Liabilities,4.0,0.0,0.0,0.0,1.0,0.0,8.0
Other liability items,Other Liabilities,14754.0,21306.0,25925.0,29957.0,37331.0,41397.0,46194.0
Trade receivables,Other Assets,0.0,0.0,0.0,0.0,5.0,31.0,0.0
Cash Equivalents,Other Assets,168.0,272.0,340.0,387.0,422.0,611.0,613.0
Loans n Advances,Other Assets,7.0,11.0,-77.0,14.0,-45.0,-45.0,-60.0
Other asset items,Other Assets,362.0,389.0,612.0,652.0,933.0,1105.0,1348.0
