,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,59.0,59.0,59.0,59.0,59.0,59.0,59.0
Reserves,,1499.0,1505.0,1273.0,1293.0,1216.0,984.0,1003.0
Borrowings,,1298.0,1321.0,1179.0,1386.0,1393.0,1954.0,1895.0
Other Liabilities,,471.0,521.0,468.0,428.0,796.0,1217.0,1643.0
Total Liabilities,,3327.0,3407.0,2979.0,3166.0,3463.0,4214.0,4600.0
Fixed Assets,,1564.0,1662.0,1053.0,1066.0,1107.0,1215.0,1320.0
CWIP,,73.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,138.0,138.0,68.0,68.0,68.0,68.0,0.0
Other Assets,,1552.0,1607.0,1858.0,2032.0,2289.0,2931.0,3279.0
Total Assets,,3327.0,3407.0,2979.0,3166.0,3463.0,4214.0,4600.0
Land,Fixed Assets,334.0,334.0,88.0,325.0,324.0,338.0,
Building,Fixed Assets,0.0,7.0,80.0,60.0,60.0,60.0,
Plant Machinery,Fixed Assets,39.0,32.0,32.0,25.0,0.0,15.0,
Equipments,Fixed Assets,1.0,2.0,3.0,4.0,4.0,5.0,
Computers,Fixed Assets,1.0,1.0,1.0,2.0,2.0,2.0,
Furniture n fittings,Fixed Assets,1.0,0.0,0.0,0.0,25.0,26.0,
Vehicles,Fixed Assets,8.0,8.0,8.0,10.0,14.0,14.0,
Intangible Assets,Fixed Assets,278.0,278.0,278.0,278.0,278.0,278.0,278.0
Other fixed assets,Fixed Assets,935.0,1065.0,637.0,443.0,487.0,574.0,
Gross Block,Fixed Assets,1596.0,1727.0,1127.0,1147.0,1194.0,1312.0,
Accumulated Depreciation,Fixed Assets,33.0,65.0,74.0,81.0,87.0,96.0,
Long term Borrowings,Borrowings,977.0,1013.0,0.0,1132.0,925.0,1049.0,1585.0
Short term Borrowings,Borrowings,43.0,302.0,1174.0,249.0,463.0,900.0,303.0
Lease Liabilities,Borrowings,0.0,6.0,6.0,5.0,5.0,4.0,6.0
Other Borrowings,Borrowings,278.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,28.0,52.0,42.0,24.0,25.0,61.0,77.0
Advance from Customers,Other Liabilities,368.0,329.0,210.0,175.0,526.0,964.0,
Other liability items,Other Liabilities,75.0,141.0,217.0,228.0,245.0,191.0,1565.0
Inventories,Other Assets,829.0,848.0,1065.0,1106.0,1385.0,1951.0,2396.0
Trade receivables,Other Assets,3.0,17.0,5.0,10.0,6.0,10.0,7.0
Cash Equivalents,Other Assets,9.0,15.0,28.0,115.0,67.0,86.0,81.0
Loans n Advances,Other Assets,3.0,1.0,0.0,64.0,59.0,22.0,273.0
Other asset items,Other Assets,708.0,725.0,760.0,737.0,772.0,861.0,522.0
