,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,560.0,760.0,897.0,925.0,934.0,934.0,950.0,961.0,961.0,963.0
Reserves,,540.0,905.0,936.0,1395.0,1511.0,1687.0,1425.0,823.0,664.0,943.0
Borrowings,,1524.0,1226.0,1259.0,1216.0,1465.0,1613.0,1877.0,1801.0,1481.0,765.0
Other Liabilities,,2965.0,4189.0,3943.0,4225.0,5043.0,5384.0,5280.0,6054.0,7340.0,6676.0
Total Liabilities,,5588.0,7081.0,7034.0,7761.0,8953.0,9617.0,9531.0,9639.0,10445.0,9347.0
Fixed Assets,,2506.0,2620.0,2695.0,2693.0,2702.0,2727.0,2752.0,2732.0,2710.0,2370.0
CWIP,,102.0,149.0,165.0,189.0,169.0,154.0,139.0,142.0,19.0,16.0
Investments,,41.0,38.0,40.0,38.0,36.0,35.0,35.0,35.0,54.0,54.0
Other Assets,,2939.0,4274.0,4135.0,4841.0,6046.0,6701.0,6605.0,6730.0,7664.0,6907.0
Total Assets,,5588.0,7081.0,7034.0,7761.0,8953.0,9617.0,9531.0,9639.0,10445.0,9347.0
Land,Fixed Assets,2259.67,2248.01,2219.47,2219.48,2218.36,2217.34,2216.67,2216.67,2004.68,
Building,Fixed Assets,101.87,112.94,112.18,130.81,145.56,147.07,149.58,150.13,223.91,
Plant Machinery,Fixed Assets,111.32,235.68,340.0,360.6,394.37,443.74,507.14,509.23,561.33,
Equipments,Fixed Assets,1.93,2.09,2.58,2.81,3.44,4.1,5.56,6.26,8.73,
Furniture n fittings,Fixed Assets,0.4,0.42,0.52,0.7,0.76,1.36,1.44,1.8,1.86,
Vehicles,Fixed Assets,0.38,1.46,1.39,1.39,2.41,2.5,2.78,2.74,2.52,
Other fixed assets,Fixed Assets,48.8,61.86,98.04,98.53,98.87,121.44,130.76,143.07,266.76,
Gross Block,Fixed Assets,2524.37,2662.46,2774.18,2814.32,2863.77,2937.55,3013.93,3029.9,3069.79,
Accumulated Depreciation,Fixed Assets,17.99,42.79,79.66,121.55,161.66,210.71,261.57,297.93,359.98,
Long term Borrowings,Borrowings,300.0,300.0,300.0,180.0,300.0,299.0,180.0,120.0,60.0,0.0
Short term Borrowings,Borrowings,879.0,926.0,959.0,1036.0,1164.0,1313.0,1696.0,1681.0,1421.0,765.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Other Borrowings,Borrowings,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,1976.0,2262.0,1805.0,2183.0,1885.0,2108.0,1377.0,1580.0,3270.0,2891.0
Advance from Customers,Other Liabilities,223.0,679.0,549.0,566.0,1032.0,1034.0,996.0,1964.0,1846.0,
Other liability items,Other Liabilities,766.0,1249.0,1589.0,1476.0,2126.0,2242.0,2908.0,2510.0,2224.0,3785.0
Inventories,Other Assets,177.0,192.0,185.0,213.0,234.0,233.0,290.0,264.0,275.0,206.0
Trade receivables,Other Assets,2196.0,3080.0,2657.0,2761.0,2552.0,2730.0,2429.0,2455.0,3991.0,2906.0
Cash Equivalents,Other Assets,166.0,325.0,204.0,245.0,548.0,307.0,215.0,836.0,422.0,351.0
Loans n Advances,Other Assets,-31.0,48.0,32.0,26.0,52.0,97.0,117.0,-20.0,10.0,537.0
Other asset items,Other Assets,431.0,629.0,1058.0,1596.0,2660.0,3334.0,3555.0,3195.0,2967.0,2909.0
