,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,986.0,986.0,986.0,986.0,986.0,986.0,1341.0
Reserves,,540.0,839.0,1144.0,1306.0,1478.0,1366.0,5209.0
Borrowings,,2969.0,3189.0,4622.0,5641.0,6254.0,6563.0,4464.0
Other Liabilities,,1675.0,1895.0,2468.0,2203.0,2498.0,2966.0,3370.0
Total Liabilities,,6169.0,6909.0,9221.0,10136.0,11216.0,11881.0,14385.0
Fixed Assets,,3293.0,4224.0,4573.0,4645.0,6189.0,6785.0,8480.0
CWIP,,920.0,294.0,876.0,1591.0,770.0,1038.0,976.0
Investments,,320.0,354.0,484.0,714.0,759.0,345.0,290.0
Other Assets,,1636.0,2036.0,3288.0,3186.0,3498.0,3714.0,4639.0
Total Assets,,6169.0,6909.0,9221.0,10136.0,11216.0,11881.0,14385.0
Land,Fixed Assets,40.0,41.0,74.0,264.0,303.0,432.0,607.0
Building,Fixed Assets,1320.0,872.0,1132.0,996.0,1254.0,1467.0,1730.0
Plant Machinery,Fixed Assets,2362.0,3172.0,3232.0,3372.0,4841.0,5237.0,6699.0
Equipments,Fixed Assets,16.0,11.0,11.0,12.0,15.0,17.0,18.0
Computers,Fixed Assets,0.0,11.0,13.0,13.0,20.0,22.0,27.0
Furniture n fittings,Fixed Assets,6.0,10.0,13.0,10.0,13.0,15.0,23.0
Railway sidings,Fixed Assets,0.0,0.0,19.0,22.0,22.0,22.0,111.0
Vehicles,Fixed Assets,0.0,17.0,19.0,21.0,28.0,33.0,34.0
Intangible Assets,Fixed Assets,217.0,230.0,233.0,233.0,217.0,217.0,217.0
Other fixed assets,Fixed Assets,26.0,436.0,635.0,771.0,810.0,870.0,871.0
Gross Block,Fixed Assets,3989.0,4800.0,5381.0,5713.0,7522.0,8332.0,10338.0
Accumulated Depreciation,Fixed Assets,696.0,576.0,808.0,1069.0,1334.0,1548.0,1858.0
Long term Borrowings,Borrowings,2184.0,2124.0,4051.0,4646.0,4157.0,5010.0,3092.0
Short term Borrowings,Borrowings,347.0,1065.0,571.0,776.0,1679.0,1156.0,990.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,220.0,418.0,396.0,383.0
Preference Capital,Borrowings,0.0,0.0,0.0,1610.0,1747.0,1898.0,0.0
Other Borrowings,Borrowings,438.0,0.0,0.0,-1610.0,-1747.0,-1898.0,0.0
Non controlling int,Other Liabilities,3.0,-7.0,-19.0,-51.0,-79.0,20.0,-23.0
Trade Payables,Other Liabilities,788.0,914.0,1083.0,1084.0,1222.0,1238.0,1439.0
Advance from Customers,Other Liabilities,12.0,19.0,4.0,1.0,47.0,49.0,50.0
Other liability items,Other Liabilities,872.0,970.0,1400.0,1169.0,1308.0,1660.0,1904.0
Inventories,Other Assets,459.0,349.0,460.0,448.0,475.0,428.0,602.0
Trade receivables,Other Assets,424.0,619.0,766.0,711.0,783.0,782.0,854.0
Cash Equivalents,Other Assets,114.0,136.0,555.0,55.0,316.0,124.0,500.0
Loans n Advances,Other Assets,153.0,170.0,301.0,458.0,413.0,675.0,431.0
Other asset items,Other Assets,486.0,762.0,1205.0,1514.0,1511.0,1705.0,2253.0
