,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,26.0,26.0,26.0,26.0,26.0,26.0,29.0,30.0,30.0,30.0,30.0
Reserves,,160.0,180.0,195.0,208.0,229.0,274.0,442.0,621.0,757.0,1006.0,1393.0
Borrowings,,225.0,292.0,345.0,311.0,317.0,246.0,305.0,484.0,604.0,544.0,589.0
Other Liabilities,,856.0,790.0,739.0,753.0,887.0,1007.0,942.0,986.0,1817.0,2500.0,2916.0
Total Liabilities,,1268.0,1289.0,1305.0,1299.0,1459.0,1554.0,1717.0,2121.0,3207.0,4080.0,4928.0
Fixed Assets,,135.0,178.0,222.0,216.0,240.0,233.0,264.0,355.0,742.0,817.0,930.0
CWIP,,33.0,15.0,10.0,11.0,3.0,4.0,17.0,106.0,6.0,113.0,49.0
Investments,,25.0,0.0,11.0,12.0,13.0,14.0,1.0,3.0,10.0,18.0,135.0
Other Assets,,1074.0,1096.0,1062.0,1060.0,1203.0,1302.0,1435.0,1656.0,2449.0,3132.0,3815.0
Total Assets,,1268.0,1289.0,1305.0,1299.0,1459.0,1554.0,1717.0,2121.0,3207.0,4080.0,4928.0
Land,Fixed Assets,6.05,6.05,11.8,11.8,25.86,28.27,44.35,47.95,63.67,138.42,
Building,Fixed Assets,43.38,62.57,69.01,74.63,78.22,81.05,83.22,165.3,245.97,253.93,
Plant Machinery,Fixed Assets,211.94,252.44,306.93,317.39,345.39,358.55,397.86,422.5,738.78,783.49,
Equipments,Fixed Assets,0.62,0.91,1.25,3.04,2.98,3.07,4.09,8.67,10.2,10.56,
Computers,Fixed Assets,1.63,1.74,1.91,2.01,1.46,1.52,1.73,2.03,4.4,4.85,
Furniture n fittings,Fixed Assets,1.45,4.24,4.97,7.59,7.77,7.8,7.83,11.3,11.57,11.74,
Vehicles,Fixed Assets,3.89,4.38,8.19,10.28,10.29,12.39,13.84,13.75,14.75,14.41,
Intangible Assets,Fixed Assets,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.75
Other fixed assets,Fixed Assets,1.15,1.15,1.15,1.15,1.16,1.17,1.16,2.0,2.68,2.69,
Gross Block,Fixed Assets,270.13,333.5,405.23,427.91,473.15,493.84,554.1,673.52,1092.04,1220.11,
Accumulated Depreciation,Fixed Assets,134.97,155.56,182.97,212.11,233.0,261.03,290.18,318.57,350.44,402.74,
Long term Borrowings,Borrowings,26.0,33.0,46.0,53.0,34.0,23.0,81.0,276.0,294.0,350.0,320.0
Short term Borrowings,Borrowings,199.0,251.0,286.0,239.0,207.0,162.0,208.0,192.0,293.0,178.0,249.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,12.0,17.0,16.0,17.0,16.0,16.0,20.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,8.0,13.0,19.0,19.0,-0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,831.0,759.0,704.0,728.0,838.0,961.0,877.0,928.0,1657.0,2335.0,2654.0
Advance from Customers,Other Liabilities,0.0,5.0,6.0,8.0,32.0,16.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,25.0,27.0,29.0,17.0,17.0,30.0,65.0,59.0,160.0,165.0,263.0
Inventories,Other Assets,370.0,352.0,414.0,473.0,469.0,368.0,735.0,648.0,1298.0,1874.0,2323.0
Trade receivables,Other Assets,294.0,386.0,377.0,338.0,379.0,558.0,208.0,405.0,386.0,543.0,592.0
Cash Equivalents,Other Assets,248.0,238.0,124.0,122.0,220.0,234.0,330.0,332.0,437.0,396.0,572.0
Loans n Advances,Other Assets,34.0,73.0,75.0,64.0,92.0,91.0,67.0,71.0,119.0,149.0,34.0
Other asset items,Other Assets,128.0,46.0,71.0,64.0,42.0,52.0,95.0,200.0,209.0,169.0,294.0
