,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.01,28.0,28.0,111.0,111.0
Reserves,,336.0,449.0,621.0,678.0,911.0
Borrowings,,28.0,260.0,480.0,724.0,720.0
Other Liabilities,,461.0,502.0,460.0,712.0,564.0
Total Liabilities,,826.0,1239.0,1588.0,2224.0,2306.0
Fixed Assets,,304.0,368.0,646.0,717.0,750.0
CWIP,,17.0,71.0,17.0,46.0,25.0
Investments,,1.0,1.0,0.0,0.0,0.0
Other Assets,,504.0,799.0,925.0,1461.0,1531.0
Total Assets,,826.0,1239.0,1588.0,2224.0,2306.0
Land,Fixed Assets,14.78,1.87,1.87,1.87,
Building,Fixed Assets,273.08,314.67,562.34,636.69,
Plant Machinery,Fixed Assets,52.94,70.32,84.23,87.54,
Equipments,Fixed Assets,110.68,11.69,16.95,19.87,
Computers,Fixed Assets,5.35,6.97,10.02,9.26,
Furniture n fittings,Fixed Assets,0.0,128.87,178.26,219.55,
Vehicles,Fixed Assets,6.75,7.58,7.78,7.69,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,8.4
Other fixed assets,Fixed Assets,2.86,3.52,0.0,11.87,
Gross Block,Fixed Assets,466.44,545.49,861.45,994.34,
Accumulated Depreciation,Fixed Assets,162.64,177.15,215.05,277.3,
Long term Borrowings,Borrowings,12.0,31.0,25.0,15.0,14.0
Short term Borrowings,Borrowings,17.0,50.0,136.0,351.0,371.0
Lease Liabilities,Borrowings,0.0,179.0,320.0,358.0,334.0
Trade Payables,Other Liabilities,168.0,344.0,276.0,504.0,365.0
Advance from Customers,Other Liabilities,0.0,1.0,3.0,0.0,
Other liability items,Other Liabilities,293.0,158.0,181.0,207.0,199.0
Inventories,Other Assets,397.0,643.0,764.0,1221.0,1152.0
Trade receivables,Other Assets,56.0,84.0,91.0,112.0,210.0
Cash Equivalents,Other Assets,14.0,26.0,21.0,15.0,10.0
Loans n Advances,Other Assets,5.0,9.0,7.0,21.0,12.0
Other asset items,Other Assets,32.0,37.0,42.0,92.0,146.0
