,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.03,0.03,0.03,0.0,764.0,836.0,868.0,907.0,919.0
Reserves,,1036.0,2356.0,457.0,7644.0,15741.0,18624.0,19545.0,29410.0,30061.0
Borrowings,,186.0,348.0,326.0,527.0,70.0,507.0,749.0,2045.0,4592.0
Other Liabilities,,152.0,709.0,2117.0,532.0,751.0,1632.0,2194.0,3261.0,5150.0
Total Liabilities,,1374.0,3413.0,2900.0,8704.0,17327.0,21599.0,23356.0,35623.0,40722.0
Fixed Assets,,190.0,389.0,1591.0,1539.0,1404.0,6344.0,6448.0,9532.0,12675.0
CWIP,,1.0,1.0,1.0,0.0,1.0,7.0,18.0,51.0,136.0
Investments,,829.0,2145.0,324.0,2205.0,4718.0,6765.0,11645.0,13192.0,14833.0
Other Assets,,354.0,879.0,985.0,4959.0,11204.0,8483.0,5245.0,12848.0,13078.0
Total Assets,,1374.0,3413.0,2900.0,8704.0,17327.0,21599.0,23356.0,35623.0,40722.0
Building,Fixed Assets,10.0,29.0,37.0,38.0,40.0,606.0,805.0,2501.0,5549.0
Plant Machinery,Fixed Assets,0.0,1.0,1.0,3.0,13.0,122.0,192.0,585.0,1497.0
Equipments,Fixed Assets,12.0,12.0,13.0,13.0,4.0,3.0,0.0,0.0,0.0
Computers,Fixed Assets,22.0,43.0,46.0,47.0,71.0,95.0,120.0,238.0,323.0
Furniture n fittings,Fixed Assets,5.0,10.0,13.0,12.0,9.0,56.0,101.0,267.0,549.0
Vehicles,Fixed Assets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0
Intangible Assets,Fixed Assets,471.0,574.0,1839.0,1878.0,1843.0,6054.0,5711.0,7356.0,6919.0
Other fixed assets,Fixed Assets,143.0,244.0,359.0,374.0,363.0,538.0,543.0,717.0,624.0
Gross Block,Fixed Assets,664.0,913.0,2308.0,2366.0,2345.0,7475.0,7473.0,11665.0,15484.0
Accumulated Depreciation,Fixed Assets,474.0,524.0,717.0,827.0,941.0,1131.0,1025.0,2133.0,2809.0
Long term Borrowings,Borrowings,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,29.0,103.0,72.0,71.0,70.0,466.0,749.0,2045.0,4592.0
Preference Capital,Borrowings,174.0,244.0,252.0,455.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,8.0,-31.0,-6.0,-6.0,-7.0,-7.0,-7.0,-7.0,-7.0
Trade Payables,Other Liabilities,67.0,376.0,269.0,297.0,429.0,679.0,886.0,1536.0,3010.0
Advance from Customers,Other Liabilities,7.0,28.0,30.0,29.0,18.0,17.0,17.0,21.0,42.0
Other liability items,Other Liabilities,69.0,336.0,1825.0,212.0,311.0,943.0,1298.0,1711.0,2105.0
Inventories,Other Assets,0.0,2.0,4.0,15.0,40.0,83.0,88.0,176.0,2181.0
Trade receivables,Other Assets,26.0,70.0,123.0,130.0,160.0,457.0,794.0,1946.0,1764.0
Cash Equivalents,Other Assets,208.0,239.0,360.0,904.0,1576.0,1017.0,731.0,3614.0,1523.0
Loans n Advances,Other Assets,14.0,37.0,71.0,75.0,374.0,41.0,0.0,624.0,851.0
Other asset items,Other Assets,106.0,530.0,428.0,3836.0,9056.0,6885.0,3632.0,6488.0,6759.0
