,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,9.0,12.0,13.0,13.0
Reserves,,40.0,563.0,1235.0,1391.0
Borrowings,,141.0,87.0,20.0,55.0
Other Liabilities,,45.0,34.0,47.0,95.0
Total Liabilities,,235.0,696.0,1315.0,1554.0
Fixed Assets,,29.0,23.0,142.0,285.0
CWIP,,11.0,50.0,48.0,0.0
Investments,,2.0,26.0,25.0,32.0
Other Assets,,193.0,597.0,1100.0,1236.0
Total Assets,,235.0,696.0,1315.0,1554.0
Land,Fixed Assets,0.0,0.0,2.0,
Building,Fixed Assets,24.0,18.0,46.0,
Equipments,Fixed Assets,0.0,0.0,4.0,
Computers,Fixed Assets,2.0,3.0,6.0,
Furniture n fittings,Fixed Assets,0.0,0.0,3.0,
Vehicles,Fixed Assets,1.0,1.0,1.0,
Intangible Assets,Fixed Assets,0.0,0.0,38.0,240.0
Other fixed assets,Fixed Assets,15.0,18.0,82.0,
Gross Block,Fixed Assets,42.0,41.0,181.0,
Accumulated Depreciation,Fixed Assets,13.0,18.0,39.0,
Long term Borrowings,Borrowings,51.33,15.47,3.45,0.0
Short term Borrowings,Borrowings,69.74,58.13,5.09,45.41
Lease Liabilities,Borrowings,20.28,13.03,11.34,9.23
Non controlling int,Other Liabilities,0.0,0.0,1.0,3.0
Trade Payables,Other Liabilities,9.0,2.0,5.0,21.0
Advance from Customers,Other Liabilities,13.0,26.0,30.0,
Other liability items,Other Liabilities,23.0,6.0,11.0,71.0
Inventories,Other Assets,0.0,0.0,0.0,1.0
Trade receivables,Other Assets,103.0,175.0,215.0,361.0
Cash Equivalents,Other Assets,23.0,279.0,653.0,546.0
Loans n Advances,Other Assets,43.0,118.0,170.0,22.0
Other asset items,Other Assets,25.0,25.0,62.0,306.0
