,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,55.0,55.0,134.0,135.0
Reserves,,-347.0,-635.0,66.0,163.0
Borrowings,,481.0,768.0,310.0,5550.0
Other Liabilities,,4225.0,4294.0,4882.0,1244.0
Total Liabilities,,4414.0,4483.0,5392.0,7092.0
Fixed Assets,,3576.0,3613.0,4323.0,5777.0
CWIP,,13.0,15.0,34.0,38.0
Investments,,57.0,164.0,33.0,268.0
Other Assets,,768.0,692.0,1002.0,1009.0
Total Assets,,4414.0,4483.0,5392.0,7092.0
Building,Fixed Assets,4398.93,4966.19,6219.28,
Plant Machinery,Fixed Assets,243.8,295.07,372.14,
Equipments,Fixed Assets,29.51,35.49,44.08,
Computers,Fixed Assets,12.31,15.13,19.63,
Furniture n fittings,Fixed Assets,190.57,230.19,267.89,
Vehicles,Fixed Assets,4.88,6.82,11.97,
Intangible Assets,Fixed Assets,2.22,2.22,2.22,6.22
Other fixed assets,Fixed Assets,7.16,22.29,24.71,
Gross Block,Fixed Assets,4889.38,5573.4,6961.92,
Accumulated Depreciation,Fixed Assets,1313.34,1960.59,2638.51,
Long term Borrowings,Borrowings,389.0,496.0,209.0,236.0
Short term Borrowings,Borrowings,92.0,129.0,101.0,97.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,5218.0
Preference Capital,Borrowings,0.0,142.0,0.0,0.0
Non controlling int,Other Liabilities,-0.0,-0.0,1.0,1.0
Trade Payables,Other Liabilities,104.0,73.0,52.0,75.0
Advance from Customers,Other Liabilities,50.0,51.0,27.0,
Other liability items,Other Liabilities,4072.0,4171.0,4802.0,1168.0
Inventories,Other Assets,0.0,0.0,1.0,1.0
Trade receivables,Other Assets,70.0,80.0,83.0,85.0
Cash Equivalents,Other Assets,51.0,24.0,27.0,67.0
Loans n Advances,Other Assets,5.0,15.0,15.0,269.0
Other asset items,Other Assets,643.0,573.0,877.0,588.0
