,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,14.0,14.0,15.0,15.0,47.0,285.0,286.0,286.0,286.0
Reserves,,108.0,216.0,307.0,475.0,1292.0,1093.0,977.0,1015.0,1152.0
Borrowings,,83.0,310.0,413.0,333.0,593.0,798.0,969.0,1321.0,1238.0
Other Liabilities,,148.0,235.0,390.0,479.0,714.0,773.0,1169.0,1358.0,1936.0
Total Liabilities,,353.0,776.0,1124.0,1302.0,2646.0,2950.0,3401.0,3980.0,4611.0
Fixed Assets,,34.0,140.0,227.0,231.0,483.0,699.0,668.0,835.0,1008.0
CWIP,,0.0,0.0,2.0,2.0,24.0,31.0,30.0,37.0,9.0
Investments,,10.0,138.0,4.0,1.0,0.0,38.0,34.0,0.0,0.0
Other Assets,,308.0,497.0,892.0,1067.0,2138.0,2182.0,2668.0,3108.0,3594.0
Total Assets,,353.0,776.0,1124.0,1302.0,2646.0,2950.0,3401.0,3980.0,4611.0
Building,Fixed Assets,8.0,13.0,20.0,23.0,30.0,68.0,89.0,815.0,
Plant Machinery,Fixed Assets,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,
Equipments,Fixed Assets,3.0,8.0,12.0,15.0,35.0,62.0,72.0,98.0,
Computers,Fixed Assets,5.0,10.0,16.0,22.0,42.0,61.0,65.0,73.0,
Furniture n fittings,Fixed Assets,8.0,24.0,46.0,51.0,84.0,155.0,194.0,249.0,
Vehicles,Fixed Assets,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,5.0,101.0,204.0,240.0,336.0,247.0
Other fixed assets,Fixed Assets,23.0,126.0,232.0,294.0,447.0,540.0,579.0,13.0,
Gross Block,Fixed Assets,47.0,181.0,328.0,410.0,742.0,1093.0,1242.0,1589.0,
Accumulated Depreciation,Fixed Assets,13.0,41.0,101.0,179.0,258.0,395.0,574.0,754.0,
Long term Borrowings,Borrowings,0.0,0.0,0.0,2.0,1.0,0.0,0.0,110.0,18.0
Short term Borrowings,Borrowings,83.0,225.0,267.0,186.0,332.0,460.0,680.0,851.0,729.0
Lease Liabilities,Borrowings,0.0,85.0,145.0,145.0,260.0,338.0,289.0,359.0,491.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,1.0,1.0,6.0,14.0,19.0,41.0,64.0
Trade Payables,Other Liabilities,127.0,182.0,313.0,316.0,362.0,265.0,387.0,635.0,732.0
Advance from Customers,Other Liabilities,4.0,6.0,10.0,11.0,8.0,15.0,14.0,22.0,
Other liability items,Other Liabilities,17.0,46.0,66.0,151.0,338.0,479.0,749.0,659.0,1139.0
Inventories,Other Assets,118.0,245.0,445.0,498.0,876.0,1005.0,1192.0,1418.0,1642.0
Trade receivables,Other Assets,70.0,58.0,98.0,77.0,95.0,164.0,242.0,247.0,289.0
Cash Equivalents,Other Assets,38.0,12.0,176.0,248.0,267.0,149.0,240.0,217.0,320.0
Loans n Advances,Other Assets,7.0,29.0,30.0,38.0,56.0,64.0,70.0,58.0,69.0
Other asset items,Other Assets,75.0,154.0,142.0,207.0,845.0,800.0,925.0,1169.0,1274.0
