,parent_line_item,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.04,0.04,0.04,0.04,0.04,0.05,90.0,90.0,90.0,92.0,93.0
Reserves,,97.0,301.0,787.0,489.0,1265.0,1990.0,5322.0,5386.0,5781.0,6340.0,7219.0
Borrowings,,0.0,1.0,1.0,90.0,110.0,110.0,159.0,227.0,253.0,322.0,360.0
Other Liabilities,,29.0,43.0,92.0,172.0,202.0,230.0,344.0,551.0,604.0,775.0,1035.0
Total Liabilities,,126.0,345.0,880.0,751.0,1576.0,2331.0,5915.0,6254.0,6729.0,7529.0,8707.0
Fixed Assets,,4.0,6.0,11.0,119.0,147.0,125.0,205.0,313.0,359.0,418.0,441.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,19.0,237.0,650.0,125.0,2.0,138.0,373.0,622.0,1358.0,2173.0,3211.0
Other Assets,,103.0,102.0,219.0,507.0,1427.0,2068.0,5338.0,5319.0,5011.0,4938.0,5054.0
Total Assets,,126.0,345.0,880.0,751.0,1576.0,2331.0,5915.0,6254.0,6729.0,7529.0,8707.0
Building,Fixed Assets,0.16,0.16,2.5,111.5,137.23,139.8,206.14,308.84,382.71,500.62,
Equipments,Fixed Assets,1.65,2.04,2.6,4.83,6.36,5.93,6.36,8.93,12.44,16.36,
Computers,Fixed Assets,5.99,10.26,12.28,26.55,43.24,43.92,60.84,82.07,114.57,167.3,
Furniture n fittings,Fixed Assets,0.7,0.92,1.45,9.34,10.83,13.79,15.12,20.17,18.94,31.66,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,22.18,37.71,37.71,16.91,10.77
Other fixed assets,Fixed Assets,1.82,2.68,2.6,3.73,8.42,8.68,9.98,16.12,19.1,20.25,
Gross Block,Fixed Assets,10.32,16.06,21.43,155.95,206.08,212.12,320.62,473.84,585.47,753.1,
Accumulated Depreciation,Fixed Assets,6.46,9.82,10.67,37.07,58.76,87.36,115.72,160.55,226.85,335.27,
Lease Liabilities,Borrowings,,,0.0,0.0,108.0,109.0,159.0,227.0,253.0,322.0,360.0
Preference Capital,Borrowings,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.0,0.0,89.0,-0.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,6.0,6.0
Trade Payables,Other Liabilities,19.0,28.0,47.0,111.0,118.0,102.0,198.0,306.0,301.0,367.0,471.0
Advance from Customers,Other Liabilities,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
Other liability items,Other Liabilities,10.0,14.0,45.0,61.0,84.0,128.0,146.0,236.0,298.0,402.0,558.0
Trade receivables,Other Assets,25.0,38.0,96.0,131.0,179.0,173.0,361.0,677.0,634.0,1000.0,1729.0
Cash Equivalents,Other Assets,61.0,34.0,48.0,267.0,1106.0,1810.0,3700.0,763.0,735.0,793.0,760.0
Loans n Advances,Other Assets,10.0,18.0,3.0,4.0,4.0,8.0,11.0,18.0,20.0,48.0,1574.0
Other asset items,Other Assets,6.0,11.0,73.0,105.0,138.0,77.0,1266.0,3860.0,3623.0,3098.0,992.0
