,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,981.0,1126.0,1350.0,1409.0,1511.0,1700.0,1827.0,1847.0
Reserves,,-719.0,-780.0,-773.0,-903.0,-683.0,351.0,1231.0,1939.0
Borrowings,,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0
Other Liabilities,,737.0,891.0,1322.0,1983.0,2799.0,3891.0,6452.0,7827.0
Total Liabilities,,1000.0,1237.0,1899.0,2738.0,3877.0,6192.0,9760.0,11864.0
Fixed Assets,,30.0,39.0,46.0,49.0,52.0,58.0,66.0,88.0
CWIP,,2.0,2.0,2.0,1.0,4.0,1.0,9.0,0.0
Investments,,816.0,1067.0,1622.0,2401.0,3366.0,5458.0,8175.0,9670.0
Other Assets,,152.0,129.0,230.0,287.0,455.0,675.0,1510.0,2106.0
Total Assets,,1000.0,1237.0,1899.0,2738.0,3877.0,6192.0,9760.0,11864.0
Building,Fixed Assets,16.39,17.58,13.37,17.23,18.72,19.61,29.23,
Equipments,Fixed Assets,7.63,9.02,10.18,13.91,15.64,16.61,17.37,
Computers,Fixed Assets,27.12,29.87,32.01,0.0,0.0,44.29,52.72,
Furniture n fittings,Fixed Assets,3.28,4.0,3.98,6.03,7.05,7.42,9.74,
Other fixed assets,Fixed Assets,66.43,86.83,103.47,154.15,182.91,169.88,179.53,
Gross Block,Fixed Assets,120.85,147.3,163.01,191.32,224.32,257.81,288.59,
Accumulated Depreciation,Fixed Assets,90.69,108.59,117.12,142.16,172.46,199.51,222.69,
Long term Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
Other Borrowings,Borrowings,0.0,0.0,0.0,250.0,250.0,250.0,250.0,
Trade Payables,Other Liabilities,128.0,122.0,167.0,243.0,329.0,520.0,641.0,0.0
Other liability items,Other Liabilities,609.0,769.0,1155.0,1740.0,2470.0,3372.0,5812.0,7827.0
Cash Equivalents,Other Assets,30.0,19.0,30.0,59.0,102.0,143.0,220.0,159.0
Loans n Advances,Other Assets,7.0,11.0,13.0,-48.0,-43.0,-0.0,83.0,588.0
Other asset items,Other Assets,115.0,99.0,186.0,276.0,396.0,532.0,1206.0,1360.0
