,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,14.0,14.0,14.0,14.0,14.0,15.0
Reserves,,72.0,90.0,151.0,214.0,336.0,914.0
Borrowings,,56.0,76.0,74.0,49.0,146.0,51.0
Other Liabilities,,212.0,256.0,322.0,282.0,370.0,529.0
Total Liabilities,,355.0,436.0,561.0,559.0,866.0,1509.0
Fixed Assets,,47.0,47.0,47.0,65.0,76.0,507.0
CWIP,,1.0,0.0,3.0,12.0,113.0,30.0
Investments,,0.0,0.0,1.0,1.0,1.0,13.0
Other Assets,,306.0,389.0,510.0,482.0,676.0,959.0
Total Assets,,355.0,436.0,561.0,559.0,866.0,1509.0
Land,Fixed Assets,3.05,3.05,3.05,14.65,20.81,
Building,Fixed Assets,26.28,27.38,27.36,29.06,29.09,
Plant Machinery,Fixed Assets,18.45,7.12,21.25,24.69,26.47,
Equipments,Fixed Assets,9.52,22.55,3.44,4.71,6.79,
Computers,Fixed Assets,0.52,0.6,0.74,0.95,1.17,
Furniture n fittings,Fixed Assets,1.14,1.24,7.91,9.55,10.66,
Vehicles,Fixed Assets,4.06,4.57,4.98,8.03,8.62,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,24.6
Other fixed assets,Fixed Assets,0.38,0.4,4.38,4.71,10.37,
Gross Block,Fixed Assets,63.4,66.91,73.11,96.35,113.98,
Accumulated Depreciation,Fixed Assets,16.28,20.31,25.83,31.46,37.54,
Long term Borrowings,Borrowings,15.29,9.89,6.6,3.87,93.03,3.12
Short term Borrowings,Borrowings,32.96,60.18,66.5,44.73,48.0,43.5
Lease Liabilities,Borrowings,0.0,0.0,0.96,0.22,4.93,4.12
Other Borrowings,Borrowings,8.13,5.82,-0.01,0.0,0.0,
Trade Payables,Other Liabilities,196.0,235.0,279.0,238.0,310.0,398.0
Advance from Customers,Other Liabilities,7.0,8.0,19.0,19.0,23.0,
Other liability items,Other Liabilities,8.0,13.0,24.0,24.0,37.0,131.0
Inventories,Other Assets,71.0,109.0,187.0,239.0,215.0,364.0
Trade receivables,Other Assets,194.0,236.0,260.0,180.0,352.0,424.0
Cash Equivalents,Other Assets,28.0,0.0,35.0,31.0,66.0,100.0
Loans n Advances,Other Assets,1.0,2.0,1.0,0.0,1.0,11.0
Other asset items,Other Assets,12.0,42.0,27.0,32.0,42.0,60.0
