,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,13.0,14.0,14.0,21.0,21.0,21.0,42.0,42.0
Reserves,,110.0,172.0,228.0,323.0,447.0,628.0,632.0,957.0
Borrowings,,1.0,42.0,48.0,39.0,37.0,52.0,79.0,83.0
Other Liabilities,,106.0,182.0,51.0,97.0,119.0,179.0,208.0,247.0
Total Liabilities,,231.0,409.0,340.0,480.0,624.0,880.0,961.0,1329.0
Fixed Assets,,50.0,74.0,55.0,124.0,136.0,152.0,188.0,191.0
CWIP,,32.0,65.0,69.0,0.0,0.0,1.0,0.0,0.0
Investments,,75.0,103.0,104.0,104.0,106.0,112.0,244.0,265.0
Other Assets,,75.0,166.0,111.0,253.0,383.0,614.0,530.0,873.0
Total Assets,,231.0,409.0,340.0,480.0,624.0,880.0,961.0,1329.0
Building,Fixed Assets,1.0,1.0,1.0,72.0,77.0,77.0,84.0,91.0
Equipments,Fixed Assets,1.0,1.0,1.0,1.0,7.0,7.0,9.0,10.0
Computers,Fixed Assets,3.0,6.0,6.0,8.0,9.0,8.0,10.0,15.0
Furniture n fittings,Fixed Assets,3.0,4.0,4.0,5.0,9.0,9.0,9.0,10.0
Vehicles,Fixed Assets,2.0,2.0,2.0,3.0,3.0,4.0,30.0,29.0
Intangible Assets,Fixed Assets,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Other fixed assets,Fixed Assets,63.0,105.0,87.0,88.0,99.0,121.0,145.0,167.0
Gross Block,Fixed Assets,75.0,121.0,103.0,179.0,207.0,229.0,289.0,324.0
Accumulated Depreciation,Fixed Assets,26.0,47.0,48.0,55.0,71.0,76.0,101.0,133.0
Long term Borrowings,Borrowings,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Short term Borrowings,Borrowings,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Other Borrowings,Borrowings,-0.0,42.0,48.0,39.0,37.0,52.0,79.0,83.0
Non controlling int,Other Liabilities,13.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0
Trade Payables,Other Liabilities,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Advance from Customers,Other Liabilities,2.0,2.0,0.0,0.0,0.0,0.0,3.0,13.0
Other liability items,Other Liabilities,91.0,166.0,39.0,86.0,107.0,166.0,192.0,221.0
Trade receivables,Other Assets,11.0,9.0,11.0,15.0,17.0,28.0,35.0,43.0
Cash Equivalents,Other Assets,11.0,28.0,65.0,87.0,65.0,33.0,44.0,241.0
Loans n Advances,Other Assets,2.0,68.0,2.0,16.0,21.0,28.0,30.0,50.0
Other asset items,Other Assets,50.0,61.0,33.0,135.0,280.0,525.0,421.0,540.0
