,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,9.0,9.0,9.0,9.0,9.0
Reserves,,358.0,392.0,450.0,538.0,707.0
Borrowings,,175.0,188.0,209.0,188.0,177.0
Other Liabilities,,135.0,103.0,114.0,197.0,253.0
Total Liabilities,,677.0,693.0,782.0,933.0,1147.0
Fixed Assets,,333.0,367.0,473.0,501.0,620.0
CWIP,,29.0,68.0,20.0,18.0,29.0
Investments,,0.0,0.0,0.0,0.0,0.0
Other Assets,,316.0,257.0,289.0,414.0,498.0
Total Assets,,677.0,693.0,782.0,933.0,1147.0
Land,Fixed Assets,18.9,18.9,18.9,18.9,
Building,Fixed Assets,100.51,107.92,142.32,148.18,
Plant Machinery,Fixed Assets,197.44,219.82,271.81,295.14,
Equipments,Fixed Assets,75.57,98.65,125.25,146.12,
Computers,Fixed Assets,3.14,3.8,4.99,7.04,
Furniture n fittings,Fixed Assets,22.55,25.18,30.63,38.86,
Vehicles,Fixed Assets,6.33,5.9,5.9,6.25,
Intangible Assets,Fixed Assets,8.66,18.78,40.46,47.81,42.76
Other fixed assets,Fixed Assets,4.04,4.35,4.61,5.96,
Gross Block,Fixed Assets,437.14,503.3,644.87,714.26,
Accumulated Depreciation,Fixed Assets,104.2,136.36,171.47,213.07,
Long term Borrowings,Borrowings,102.0,63.0,70.0,40.0,27.0
Short term Borrowings,Borrowings,72.0,124.0,139.0,148.0,147.0
Lease Liabilities,Borrowings,2.0,1.0,1.0,1.0,3.0
Other Borrowings,Borrowings,0.0,0.0,-0.0,-0.0,
Trade Payables,Other Liabilities,86.0,53.0,69.0,99.0,86.0
Advance from Customers,Other Liabilities,22.0,18.0,8.0,41.0,
Other liability items,Other Liabilities,27.0,32.0,38.0,57.0,167.0
Inventories,Other Assets,111.0,73.0,84.0,138.0,151.0
Trade receivables,Other Assets,102.0,92.0,117.0,172.0,215.0
Cash Equivalents,Other Assets,47.0,23.0,26.0,23.0,25.0
Loans n Advances,Other Assets,7.0,11.0,16.0,18.0,1.0
Other asset items,Other Assets,48.0,59.0,45.0,63.0,106.0
