nse_symbol,status
AADHARHFC,skip:existing
AARTIDRUGS,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
AARTIIND,skip:existing
AARTIPHARM,"ok:consolidated:headline=10:cols=6;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
AAVAS,skip:existing
ABB,skip:existing
ABBOTINDIA,skip:existing
ABCAPITAL,skip:existing
ABDL,skip:existing
ABFRL,skip:existing
ABLBL,skip:existing
ABREL,skip:existing
ABSLAMC,skip:existing
ACC,skip:existing
ACE,skip:existing
ACI,"ok:consolidated:headline=10:cols=6;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
ACMESOLAR,skip:existing
ACUTAAS,skip:existing
ADANIENSOL,skip:existing
ADANIENT,skip:existing
ADANIGREEN,skip:existing
ADANIPORTS,skip:existing
ADANIPOWER,skip:existing
ADVENZYMES,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
AEGISLOG,skip:existing
AEGISVOPAK,skip:existing
AEQUS,"ok:consolidated:headline=10:cols=4;schedules=Fixed Assets=10,Borrowings=5,Other Liabilities=4,Other Assets=5"
AETHER,"ok:consolidated:headline=10:cols=5;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
AFCONS,skip:existing
AFFLE,skip:existing
AGARWALEYE,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
AHLUCONT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
AIAENG,skip:existing
AIIL,skip:existing
AJANTPHARM,skip:existing
AKUMS,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ALIVUS,"ok:consolidated:headline=10:cols=3;schedules=Fixed Assets=empty,Borrowings=empty,Other Liabilities=empty,Other Assets=empty"
ALKEM,skip:existing
ALKYLAMINE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=3,Other Liabilities=3,Other Assets=5"
ALOKINDS,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=3,Other Assets=5"
AMBER,skip:existing
AMBUJACEM,skip:existing
ANANDRATHI,skip:existing
ANANTRAJ,skip:existing
ANGELONE,skip:existing
ANTHEM,skip:existing
ANUP,"ok:consolidated:headline=10:cols=6;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
ANURAS,skip:existing
APARINDS,skip:existing
APLAPOLLO,skip:existing
APLLTD,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
APOLLO,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
APOLLOHOSP,skip:existing
APOLLOTYRE,skip:existing
APTUS,skip:existing
ARVIND,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ARVINDFASN,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
ASAHIINDIA,skip:existing
ASHAPURMIN,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
ASHOKA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
ASHOKLEY,skip:existing
ASIANPAINT,skip:existing
ASKAUTOLTD,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
ASTERDM,skip:existing
ASTRAL,skip:existing
ASTRAMICRO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=3,Other Assets=5"
ATGL,skip:existing
ATHERENERG,skip:existing
ATLANTAELE,"ok:consolidated:headline=10:cols=6;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
ATUL,skip:existing
AUBANK,skip:existing
AURIONPRO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
AUROPHARMA,skip:existing
AVALON,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
AVANTIFEED,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=4,Other Assets=5"
AVL,"ok:standalone:headline=10:cols=12;schedules=Fixed Assets=7,Borrowings=4,Other Liabilities=3,Other Assets=5"
AWFIS,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=9,Borrowings=5,Other Liabilities=3,Other Assets=5"
AWL,skip:existing
AXISBANK,skip:existing
AXISCADES,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
AZAD,"ok:consolidated:headline=10:cols=6;schedules=Fixed Assets=10,Borrowings=5,Other Liabilities=4,Other Assets=5"
BAJAJ-AUTO,skip:existing
BAJAJELEC,"ok:consolidated:headline=10:cols=11;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BAJAJFINSV,skip:existing
BAJAJHFL,skip:existing
BAJAJHLDNG,skip:existing
BAJFINANCE,skip:existing
BALAMINES,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=4,Other Assets=5"
BALKRISIND,skip:existing
BALRAMCHIN,skip:existing
BALUFORGE,"ok:consolidated:headline=10:cols=6;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
BANCOINDIA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=3,Other Assets=5"
BANDHANBNK,skip:existing
BANKBARODA,skip:existing
BANKINDIA,skip:existing
BATAINDIA,skip:existing
BAYERCROP,skip:existing
BBOX,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=3,Other Assets=5"
BBTC,skip:existing
BDL,skip:existing
BECTORFOOD,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
BEL,skip:existing
BELRISE,skip:existing
BEML,skip:existing
BERGEPAINT,skip:existing
BHARATFORG,skip:existing
BHARTIARTL,skip:existing
BHARTIHEXA,skip:existing
BHEL,skip:existing
BIKAJI,skip:existing
BIOCON,skip:existing
BIRLACORPN,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BLACKBUCK,"ok:consolidated:headline=10:cols=6;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=3,Other Assets=4"
BLS,skip:existing
BLUEDART,skip:existing
BLUEJET,skip:existing
BLUESTARCO,skip:existing
BLUESTONE,"ok:consolidated:headline=10:cols=2;schedules=Fixed Assets=10,Borrowings=3,Other Liabilities=4,Other Assets=5"
BORORENEW,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
BOSCHLTD,skip:existing
BPCL,skip:existing
BRIGADE,skip:existing
BRITANNIA,skip:existing
BSE,skip:existing
BSOFT,skip:existing
CAMPUS,"ok:consolidated:headline=10:cols=6;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
CAMS,skip:existing
CANBK,skip:existing
CANFINHOME,skip:existing
CANHLIFE,skip:existing
CAPILLARY,"ok:consolidated:headline=10:cols=6;schedules=Fixed Assets=8,Borrowings=3,Other Liabilities=3,Other Assets=4"
CAPLIPOINT,skip:existing
CARBORUNIV,skip:existing
CARTRADE,skip:existing
