,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,49.0,49.0,49.0,49.0,49.0,49.0
Reserves,,1514.0,1836.0,2292.0,2633.0,2549.0,1280.0
Borrowings,,18.0,16.0,14.0,12.0,7.0,3.0
Other Liabilities,,721.0,713.0,822.0,957.0,959.0,747.0
Total Liabilities,,2303.0,2615.0,3178.0,3651.0,3564.0,2079.0
Fixed Assets,,345.0,402.0,424.0,472.0,551.0,440.0
CWIP,,65.0,52.0,63.0,89.0,56.0,28.0
Investments,,2.0,2.0,2.0,9.0,9.0,9.0
Other Assets,,1890.0,2158.0,2688.0,3081.0,2948.0,1602.0
Total Assets,,2303.0,2615.0,3178.0,3651.0,3564.0,2079.0
Land,Fixed Assets,26.91,26.91,26.91,26.91,26.91,
Building,Fixed Assets,80.37,68.95,72.65,114.1,129.71,
Plant Machinery,Fixed Assets,470.7,560.07,626.19,729.87,863.28,
Equipments,Fixed Assets,8.03,9.26,10.63,12.11,14.31,
Furniture n fittings,Fixed Assets,16.81,19.95,21.41,24.27,25.41,
Vehicles,Fixed Assets,10.71,9.87,12.82,14.91,21.57,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,1.18
Other fixed assets,Fixed Assets,20.42,59.38,64.8,32.81,33.98,
Gross Block,Fixed Assets,633.95,754.39,835.41,954.98,1115.17,
Accumulated Depreciation,Fixed Assets,288.7,351.9,411.33,482.61,564.37,
Lease Liabilities,Borrowings,17.58,16.1,14.44,11.76,6.92,2.91
Trade Payables,Other Liabilities,577.0,508.0,608.0,713.0,663.0,548.0
Advance from Customers,Other Liabilities,0.0,9.0,4.0,6.0,4.0,
Other liability items,Other Liabilities,144.0,195.0,210.0,237.0,292.0,199.0
Inventories,Other Assets,468.0,677.0,686.0,684.0,873.0,323.0
Trade receivables,Other Assets,583.0,686.0,679.0,751.0,849.0,717.0
Cash Equivalents,Other Assets,500.0,402.0,958.0,1222.0,719.0,300.0
Loans n Advances,Other Assets,45.0,132.0,75.0,39.0,46.0,7.0
Other asset items,Other Assets,294.0,262.0,291.0,385.0,462.0,254.0
