,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,77.0,77.0,77.0,78.0,79.0,103.0,114.0
Reserves,,161.0,107.0,37.0,-46.0,-29.0,5.0,416.0
Borrowings,,61.0,134.0,248.0,3913.0,3436.0,3737.0,4778.0
Other Liabilities,,1060.0,1175.0,2498.0,529.0,661.0,806.0,1155.0
Total Liabilities,,1359.0,1494.0,2860.0,4474.0,4147.0,4651.0,6464.0
Fixed Assets,,1066.0,1174.0,2328.0,3724.0,3412.0,3780.0,5238.0
CWIP,,21.0,13.0,89.0,52.0,72.0,139.0,56.0
Investments,,114.0,-0.0,-0.0,-0.0,11.0,11.0,2.0
Other Assets,,158.0,307.0,442.0,697.0,652.0,721.0,1168.0
Total Assets,,1359.0,1494.0,2860.0,4474.0,4147.0,4651.0,6464.0
Building,Fixed Assets,0.0,0.0,0.0,3366.3,3030.97,3327.54,
Plant Machinery,Fixed Assets,0.0,0.0,0.0,90.07,118.21,168.76,
Equipments,Fixed Assets,38.22,49.68,66.2,14.8,15.82,22.55,
Computers,Fixed Assets,16.35,19.04,24.2,37.33,45.91,58.15,
Furniture n fittings,Fixed Assets,117.2,146.28,176.81,419.73,524.59,696.53,
Vehicles,Fixed Assets,0.48,0.48,0.71,2.12,3.46,3.67,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,18.2
Other fixed assets,Fixed Assets,937.46,1045.22,2190.09,1.32,10.41,20.19,
Gross Block,Fixed Assets,1109.71,1260.7,2458.01,3931.67,3749.37,4297.39,
Accumulated Depreciation,Fixed Assets,43.43,87.0,130.01,207.24,337.69,517.02,
Long term Borrowings,Borrowings,53.0,66.0,115.0,300.0,240.0,216.0,135.0
Short term Borrowings,Borrowings,8.0,68.0,133.0,216.0,188.0,182.0,72.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,3398.0,3008.0,3340.0,4571.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,-0.0,
Trade Payables,Other Liabilities,13.0,21.0,45.0,100.0,122.0,116.0,192.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,2.0,1.0,2.0,
Other liability items,Other Liabilities,1047.0,1155.0,2453.0,427.0,538.0,688.0,962.0
Trade receivables,Other Assets,4.0,7.0,10.0,14.0,14.0,26.0,39.0
Cash Equivalents,Other Assets,11.0,102.0,102.0,214.0,70.0,69.0,236.0
Loans n Advances,Other Assets,14.0,0.0,0.0,34.0,42.0,30.0,371.0
Other asset items,Other Assets,129.0,198.0,331.0,435.0,526.0,596.0,522.0
