,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,113.0,125.0,133.0,133.0,133.0
Reserves,,274.0,1120.0,1931.0,2093.0,2323.0
Borrowings,,291.0,16.0,183.0,200.0,458.0
Other Liabilities,,92.0,120.0,154.0,218.0,288.0
Total Liabilities,,770.0,1380.0,2401.0,2644.0,3201.0
Fixed Assets,,257.0,646.0,853.0,1117.0,1506.0
CWIP,,58.0,37.0,232.0,363.0,506.0
Investments,,17.0,1.0,0.0,0.0,0.0
Other Assets,,438.0,695.0,1315.0,1163.0,1189.0
Total Assets,,770.0,1380.0,2401.0,2644.0,3201.0
Land,Fixed Assets,23.67,116.95,167.72,211.06,
Building,Fixed Assets,35.35,69.89,92.84,107.02,
Plant Machinery,Fixed Assets,206.83,450.74,586.78,808.76,
Equipments,Fixed Assets,23.19,65.7,94.41,118.36,
Computers,Fixed Assets,3.87,5.96,10.42,12.44,
Furniture n fittings,Fixed Assets,2.52,4.92,6.71,7.92,
Vehicles,Fixed Assets,0.8,1.15,2.21,2.39,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,10.73
Other fixed assets,Fixed Assets,8.46,1.71,1.82,2.16,
Gross Block,Fixed Assets,304.69,717.02,962.91,1270.11,
Accumulated Depreciation,Fixed Assets,47.59,70.83,109.44,152.85,
Long term Borrowings,Borrowings,122.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,163.0,0.0,169.0,183.0,442.0
Lease Liabilities,Borrowings,6.0,16.0,14.0,17.0,16.0
Other Borrowings,Borrowings,0.0,0.0,-0.0,0.0,
Trade Payables,Other Liabilities,70.0,82.0,104.0,128.0,197.0
Advance from Customers,Other Liabilities,0.0,0.0,1.0,0.0,
Other liability items,Other Liabilities,22.0,38.0,50.0,91.0,91.0
Inventories,Other Assets,163.0,249.0,343.0,397.0,537.0
Trade receivables,Other Assets,163.0,259.0,233.0,289.0,390.0
Cash Equivalents,Other Assets,18.0,102.0,556.0,240.0,6.0
Loans n Advances,Other Assets,3.0,5.0,14.0,15.0,4.0
Other asset items,Other Assets,91.0,81.0,169.0,223.0,253.0
