,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,4.0,4.0,4.0,11.0,11.0,11.0,11.0,11.0
Reserves,,152.0,165.0,225.0,435.0,531.0,648.0,799.0,894.0
Borrowings,,154.0,151.0,149.0,19.0,29.0,26.0,30.0,7.0
Other Liabilities,,30.0,39.0,50.0,53.0,101.0,109.0,104.0,126.0
Total Liabilities,,340.0,358.0,428.0,518.0,673.0,794.0,944.0,1038.0
Fixed Assets,,44.0,41.0,33.0,43.0,49.0,61.0,90.0,98.0
CWIP,,0.0,0.0,0.0,0.0,7.0,10.0,1.0,8.0
Investments,,201.0,199.0,269.0,296.0,362.0,409.0,489.0,517.0
Other Assets,,95.0,119.0,126.0,178.0,254.0,313.0,364.0,416.0
Total Assets,,340.0,358.0,428.0,518.0,673.0,794.0,944.0,1038.0
Equipments,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computers,Fixed Assets,15.0,17.0,17.0,27.0,34.0,52.0,86.0,108.0
Furniture n fittings,Fixed Assets,1.0,2.0,2.0,2.0,3.0,4.0,6.0,8.0
Vehicles,Fixed Assets,3.0,5.0,6.0,8.0,2.0,3.0,4.0,4.0
Intangible Assets,Fixed Assets,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
Other fixed assets,Fixed Assets,34.0,32.0,25.0,24.0,37.0,41.0,67.0,54.0
Gross Block,Fixed Assets,53.0,56.0,50.0,65.0,81.0,105.0,168.0,178.0
Accumulated Depreciation,Fixed Assets,9.0,15.0,17.0,22.0,32.0,43.0,78.0,81.0
Long term Borrowings,Borrowings,0.0,0.0,0.27,1.0,1.5,0.0,0.0,0.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,0.0,15.97,18.4,27.62,0.0
Lease Liabilities,Borrowings,25.13,21.51,19.6,15.94,11.92,7.33,2.23,7.04
Preference Capital,Borrowings,128.96,128.96,128.96,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.28,0.32,2.15,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,0.0
Trade Payables,Other Liabilities,4.0,6.0,4.0,6.0,13.0,25.0,41.0,62.0
Advance from Customers,Other Liabilities,1.0,2.0,0.0,1.0,3.0,2.0,1.0,2.0
Other liability items,Other Liabilities,25.0,31.0,45.0,47.0,85.0,82.0,61.0,62.0
Inventories,Other Assets,5.0,5.0,3.0,10.0,18.0,12.0,19.0,20.0
Trade receivables,Other Assets,24.0,31.0,28.0,44.0,58.0,105.0,133.0,176.0
Cash Equivalents,Other Assets,21.0,32.0,67.0,60.0,104.0,113.0,79.0,84.0
Loans n Advances,Other Assets,2.0,2.0,1.0,2.0,5.0,9.0,4.0,7.0
Other asset items,Other Assets,44.0,49.0,26.0,63.0,69.0,74.0,130.0,129.0
