,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Reserves,,414.0,516.0,599.0,694.0,764.0,865.0,1009.0,1166.0,1339.0,1347.0
Borrowings,,67.0,102.0,96.0,91.0,112.0,100.0,45.0,53.0,44.0,67.0
Other Liabilities,,316.0,320.0,343.0,399.0,337.0,406.0,491.0,451.0,455.0,442.0
Total Liabilities,,804.0,945.0,1045.0,1191.0,1219.0,1378.0,1552.0,1677.0,1846.0,1863.0
Fixed Assets,,230.0,345.0,360.0,385.0,439.0,415.0,337.0,339.0,374.0,399.0
CWIP,,65.0,0.0,5.0,20.0,1.0,1.0,1.0,17.0,13.0,11.0
Investments,,47.0,91.0,109.0,178.0,228.0,474.0,562.0,663.0,802.0,697.0
Other Assets,,461.0,509.0,572.0,608.0,552.0,487.0,652.0,657.0,656.0,757.0
Total Assets,,804.0,945.0,1045.0,1191.0,1219.0,1378.0,1552.0,1677.0,1846.0,1863.0
Land,Fixed Assets,9.0,11.0,12.0,15.0,17.0,20.0,15.0,15.0,38.0,38.0
Building,Fixed Assets,84.0,118.0,128.0,153.0,206.0,203.0,189.0,208.0,215.0,249.0
Plant Machinery,Fixed Assets,199.0,285.0,309.0,314.0,334.0,341.0,285.0,292.0,304.0,309.0
Equipments,Fixed Assets,0.0,6.0,7.0,8.0,9.0,10.0,7.0,7.0,8.0,9.0
Computers,Fixed Assets,0.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,14.0,15.0
Furniture n fittings,Fixed Assets,14.0,9.0,11.0,22.0,29.0,30.0,28.0,30.0,35.0,35.0
Vehicles,Fixed Assets,6.0,8.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0
Other fixed assets,Fixed Assets,3.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,8.0,8.0
Gross Block,Fixed Assets,315.0,451.0,491.0,539.0,624.0,633.0,551.0,582.0,632.0,674.0
Accumulated Depreciation,Fixed Assets,85.0,106.0,131.0,153.0,185.0,217.0,214.0,242.0,258.0,275.0
Long term Borrowings,Borrowings,36.91,47.78,45.9,39.55,43.45,0.0,5.54,4.17,2.58,0.82
Short term Borrowings,Borrowings,20.85,45.68,45.91,44.69,40.99,0.0,21.14,21.18,17.88,17.29
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,19.67,0.0,18.53,27.74,24.0,49.25
Preference Capital,Borrowings,0.0,0.0,20.77,20.77,20.77,20.77,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,8.9,8.59,-16.42,-14.41,-13.26,79.26,0.0,0.0,0.01,0.0
Non controlling int,Other Liabilities,16.0,4.0,7.0,10.0,8.0,12.0,14.0,11.0,13.0,15.0
Trade Payables,Other Liabilities,66.0,85.0,95.0,111.0,95.0,155.0,189.0,207.0,179.0,188.0
Advance from Customers,Other Liabilities,0.0,6.0,8.0,0.0,0.0,0.0,0.0,13.0,12.0,11.0
Other liability items,Other Liabilities,234.0,226.0,234.0,278.0,234.0,239.0,288.0,221.0,251.0,229.0
Inventories,Other Assets,136.0,149.0,194.0,216.0,243.0,200.0,294.0,383.0,364.0,410.0
Trade receivables,Other Assets,188.0,221.0,268.0,298.0,223.0,209.0,165.0,189.0,203.0,271.0
Cash Equivalents,Other Assets,60.0,39.0,24.0,11.0,2.0,10.0,24.0,26.0,37.0,32.0
Loans n Advances,Other Assets,0.0,2.0,3.0,8.0,9.0,8.0,6.0,30.0,30.0,21.0
Other asset items,Other Assets,77.0,98.0,83.0,75.0,75.0,59.0,163.0,29.0,23.0,23.0
