,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0
Reserves,,1466.0,2191.0,2671.0,2452.0,1862.0,3015.0,3804.0,4779.0,5511.0,5973.0,6091.0
Borrowings,,212.0,94.0,101.0,90.0,283.0,204.0,278.0,541.0,394.0,237.0,446.0
Other Liabilities,,583.0,588.0,610.0,666.0,623.0,951.0,1140.0,841.0,1030.0,1048.0,935.0
Total Liabilities,,2385.0,2997.0,3506.0,3332.0,2891.0,4294.0,5345.0,6285.0,7058.0,7382.0,7596.0
Fixed Assets,,850.0,855.0,884.0,951.0,1017.0,1002.0,993.0,1055.0,1055.0,1008.0,1017.0
CWIP,,7.0,22.0,90.0,90.0,7.0,8.0,9.0,44.0,19.0,73.0,28.0
Investments,,854.0,1264.0,1607.0,1362.0,656.0,1679.0,2718.0,3952.0,4586.0,4910.0,4969.0
Other Assets,,675.0,856.0,925.0,929.0,1211.0,1604.0,1625.0,1234.0,1398.0,1391.0,1581.0
Total Assets,,2385.0,2997.0,3506.0,3332.0,2891.0,4294.0,5345.0,6285.0,7058.0,7382.0,7596.0
Land,Fixed Assets,68.54,69.68,70.95,104.94,106.71,109.21,109.63,130.03,134.86,145.09,
Building,Fixed Assets,154.27,215.5,219.81,228.01,277.86,285.05,281.39,287.05,298.3,300.97,
Plant Machinery,Fixed Assets,660.17,1668.01,1747.93,1841.17,1922.7,1969.88,2029.98,2152.61,2245.6,2281.75,
Equipments,Fixed Assets,0.84,2.57,1.91,2.04,3.61,3.94,5.04,6.25,7.19,9.64,
Furniture n fittings,Fixed Assets,3.53,11.77,5.99,6.06,6.19,6.23,6.4,6.46,4.11,3.74,
Vehicles,Fixed Assets,5.63,8.84,11.24,11.14,10.79,10.47,12.54,11.39,11.97,11.86,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85
Other fixed assets,Fixed Assets,3.54,5.98,5.88,6.08,6.41,5.94,6.42,6.31,6.96,13.75,
Gross Block,Fixed Assets,896.52,1982.35,2063.71,2199.44,2334.27,2390.72,2451.4,2600.1,2708.99,2766.8,
Accumulated Depreciation,Fixed Assets,46.87,1127.22,1179.47,1248.55,1317.38,1388.37,1458.17,1544.93,1653.62,1758.4,
Short term Borrowings,Borrowings,112.0,94.0,101.0,90.0,283.0,204.0,278.0,526.0,382.0,221.0,437.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,16.0,8.0
Other Borrowings,Borrowings,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,243.0,227.0,250.0,284.0,228.0,436.0,463.0,289.0,289.0,444.0,366.0
Advance from Customers,Other Liabilities,40.0,29.0,29.0,25.0,23.0,14.0,10.0,20.0,7.0,11.0,
Other liability items,Other Liabilities,300.0,332.0,330.0,358.0,371.0,501.0,666.0,532.0,734.0,593.0,569.0
Inventories,Other Assets,447.0,557.0,612.0,620.0,858.0,919.0,1015.0,673.0,728.0,782.0,1026.0
Trade receivables,Other Assets,18.0,52.0,43.0,74.0,73.0,148.0,334.0,298.0,458.0,379.0,362.0
Cash Equivalents,Other Assets,10.0,16.0,23.0,28.0,93.0,336.0,81.0,61.0,32.0,125.0,60.0
Loans n Advances,Other Assets,14.0,9.0,31.0,69.0,49.0,60.0,43.0,82.0,72.0,41.0,22.0
Other asset items,Other Assets,186.0,221.0,215.0,137.0,138.0,141.0,151.0,120.0,109.0,63.0,110.0
