,parent_line_item,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Equity Capital,,10.0,14.0,25.0,25.0
Reserves,,26.0,112.0,231.0,442.0
Borrowings,,7.0,1.0,117.0,127.0
Other Liabilities,,18.0,24.0,46.0,80.0
Total Liabilities,,62.0,151.0,419.0,674.0
Fixed Assets,,29.0,60.0,255.0,294.0
CWIP,,5.0,1.0,11.0,2.0
Investments,,0.0,5.0,4.0,110.0
Other Assets,,28.0,86.0,149.0,269.0
Total Assets,,62.0,151.0,419.0,674.0
Land,Fixed Assets,12.0,18.0,,
Building,Fixed Assets,6.0,24.0,,
Plant Machinery,Fixed Assets,0.0,0.0,,
Equipments,Fixed Assets,4.0,8.0,,
Computers,Fixed Assets,5.0,5.0,,
Furniture n fittings,Fixed Assets,7.0,13.0,,
Vehicles,Fixed Assets,2.0,3.0,,
Intangible Assets,Fixed Assets,0.0,0.0,63.0,62.0
Other fixed assets,Fixed Assets,0.0,0.0,,
Gross Block,Fixed Assets,37.0,71.0,,
Accumulated Depreciation,Fixed Assets,8.0,11.0,,
Long term Borrowings,Borrowings,1.0,1.0,86.0,0.0
Short term Borrowings,Borrowings,7.0,0.0,31.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,127.0
Other Borrowings,Borrowings,-0.0,0.0,,
Non controlling int,Other Liabilities,-0.0,0.0,0.0,-0.0
Trade Payables,Other Liabilities,5.0,6.0,16.0,23.0
Advance from Customers,Other Liabilities,2.0,2.0,,
Other liability items,Other Liabilities,11.0,16.0,30.0,57.0
Inventories,Other Assets,6.0,4.0,12.0,20.0
Trade receivables,Other Assets,9.0,22.0,85.0,70.0
Cash Equivalents,Other Assets,3.0,32.0,23.0,109.0
Loans n Advances,Other Assets,3.0,4.0,13.0,12.0
Other asset items,Other Assets,7.0,23.0,16.0,58.0
