,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
Reserves,,2879.0,2870.0,3098.0,3877.0,4555.0,4893.0,5466.0,6042.0,8360.0,7275.0,6570.0,7382.0
Borrowings,,7673.0,7596.0,7326.0,7332.0,7779.0,7845.0,8859.0,8489.0,9731.0,8690.0,8494.0,9824.0
Other Liabilities,,2734.0,2511.0,2354.0,3100.0,3297.0,3193.0,3471.0,3864.0,3787.0,3954.0,3803.0,3486.0
Total Liabilities,,13352.0,13044.0,12845.0,14376.0,15699.0,15998.0,17863.0,18463.0,21945.0,19987.0,18935.0,20759.0
Fixed Assets,,8712.0,8540.0,8923.0,8690.0,9261.0,9492.0,11124.0,10939.0,11977.0,11357.0,11184.0,12543.0
CWIP,,269.0,411.0,226.0,441.0,795.0,1362.0,931.0,791.0,467.0,432.0,473.0,336.0
Investments,,26.0,19.0,32.0,35.0,13.0,39.0,15.0,13.0,14.0,17.0,26.0,29.0
Other Assets,,4345.0,4074.0,3664.0,5211.0,5631.0,5105.0,5793.0,6719.0,9487.0,8181.0,7252.0,7852.0
Total Assets,,13352.0,13044.0,12845.0,14376.0,15699.0,15998.0,17863.0,18463.0,21945.0,19987.0,18935.0,20759.0
Land,Fixed Assets,110.0,107.0,81.0,82.0,106.0,104.0,169.0,165.0,246.0,250.0,273.0,362.0
Building,Fixed Assets,831.0,816.0,535.0,531.0,537.0,618.0,807.0,980.0,1138.0,1114.0,1135.0,1353.0
Plant Machinery,Fixed Assets,6936.0,6872.0,2952.0,3097.0,3715.0,4277.0,5712.0,6234.0,7417.0,7906.0,8284.0,9437.0
Equipments,Fixed Assets,185.0,178.0,36.0,45.0,60.0,93.0,117.0,123.0,120.0,126.0,127.0,173.0
Furniture n fittings,Fixed Assets,259.0,251.0,77.0,113.0,143.0,149.0,180.0,176.0,173.0,191.0,196.0,246.0
Vehicles,Fixed Assets,45.0,43.0,13.0,15.0,34.0,106.0,262.0,269.0,304.0,309.0,332.0,624.0
Intangible Assets,Fixed Assets,5940.0,5856.0,5779.0,5782.0,6162.0,6264.0,6528.0,6383.0,6898.0,7053.0,7040.0,7824.0
Other fixed assets,Fixed Assets,1.0,6.0,1.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,7.0
Gross Block,Fixed Assets,14306.0,14130.0,9474.0,9669.0,10762.0,11616.0,13779.0,14336.0,16301.0,16956.0,17392.0,20026.0
Accumulated Depreciation,Fixed Assets,5595.0,5590.0,551.0,979.0,1501.0,2124.0,2655.0,3397.0,4325.0,5599.0,6208.0,7482.0
Long term Borrowings,Borrowings,7168.0,7132.0,6852.0,3740.0,7242.0,7356.0,8001.0,7444.0,7795.0,7318.0,6484.0,7256.0
Short term Borrowings,Borrowings,343.0,259.0,182.0,319.0,502.0,397.0,516.0,605.0,1430.0,856.0,1377.0,1791.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,506.0,517.0,633.0,777.0
Other Borrowings,Borrowings,162.0,204.0,292.0,3274.0,35.0,92.0,341.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,22.0,2.0,70.0,101.0,143.0,195.0,172.0,256.0,356.0,423.0,187.0,242.0
Trade Payables,Other Liabilities,1001.0,1023.0,760.0,1148.0,1341.0,789.0,824.0,1397.0,1548.0,1349.0,1521.0,1243.0
Advance from Customers,Other Liabilities,11.0,15.0,17.0,30.0,18.0,19.0,17.0,19.0,16.0,16.0,18.0,10.0
Other liability items,Other Liabilities,1701.0,1471.0,1506.0,1821.0,1795.0,2190.0,2459.0,2192.0,1867.0,2165.0,2077.0,1991.0
Inventories,Other Assets,1534.0,1621.0,1268.0,1999.0,2368.0,1742.0,1586.0,2512.0,4515.0,3176.0,3052.0,3623.0
Trade receivables,Other Assets,1371.0,1197.0,1039.0,1672.0,1604.0,1105.0,1091.0,1699.0,2494.0,2170.0,1730.0,2053.0
Cash Equivalents,Other Assets,900.0,860.0,1044.0,942.0,851.0,1169.0,1800.0,1384.0,1671.0,2006.0,1870.0,1526.0
Loans n Advances,Other Assets,64.0,76.0,88.0,149.0,170.0,129.0,169.0,366.0,402.0,206.0,203.0,249.0
Other asset items,Other Assets,477.0,320.0,225.0,450.0,637.0,960.0,1147.0,759.0,406.0,623.0,396.0,400.0
