,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Reserves,,522.0,568.0,625.0,676.0,723.0,794.0,856.0,976.0,1108.0,1267.0,1451.0,1644.0
Borrowings,,24.0,1.0,7.0,13.0,43.0,60.0,62.0,3.0,3.0,3.0,3.0,5.0
Other Liabilities,,332.0,347.0,321.0,354.0,449.0,547.0,588.0,596.0,679.0,761.0,859.0,1109.0
Total Liabilities,,914.0,951.0,988.0,1077.0,1250.0,1436.0,1540.0,1609.0,1825.0,2066.0,2348.0,2793.0
Fixed Assets,,191.0,194.0,219.0,308.0,321.0,307.0,318.0,311.0,350.0,419.0,438.0,462.0
CWIP,,10.0,14.0,16.0,4.0,4.0,34.0,25.0,39.0,25.0,32.0,55.0,92.0
Investments,,50.0,51.0,54.0,58.0,60.0,64.0,66.0,70.0,74.0,80.0,88.0,97.0
Other Assets,,663.0,691.0,699.0,707.0,865.0,1030.0,1130.0,1190.0,1375.0,1535.0,1767.0,2143.0
Total Assets,,914.0,951.0,988.0,1077.0,1250.0,1436.0,1540.0,1609.0,1825.0,2066.0,2348.0,2793.0
Land,Fixed Assets,2.0,2.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,33.0,33.0
Building,Fixed Assets,68.0,78.0,86.0,146.0,169.0,177.0,201.0,206.0,235.0,268.0,281.0,298.0
Plant Machinery,Fixed Assets,319.0,330.0,347.0,396.0,413.0,428.0,443.0,460.0,505.0,534.0,572.0,617.0
Equipments,Fixed Assets,9.0,10.0,11.0,13.0,15.0,17.0,17.0,17.0,21.0,34.0,36.0,39.0
Furniture n fittings,Fixed Assets,9.0,10.0,10.0,11.0,12.0,13.0,13.0,14.0,14.0,20.0,20.0,21.0
Vehicles,Fixed Assets,5.0,5.0,5.0,7.0,7.0,7.0,7.0,6.0,7.0,9.0,11.0,12.0
Intangible Assets,Fixed Assets,6.0,6.0,6.0,6.0,8.0,6.0,6.0,0.0,0.0,18.0,18.0,18.0
Other fixed assets,Fixed Assets,4.0,4.0,6.0,7.0,6.0,9.0,10.0,11.0,12.0,14.0,15.0,17.0
Gross Block,Fixed Assets,422.0,446.0,498.0,611.0,657.0,684.0,723.0,741.0,822.0,924.0,987.0,1057.0
Accumulated Depreciation,Fixed Assets,231.0,252.0,280.0,303.0,336.0,377.0,405.0,431.0,471.0,505.0,549.0,595.0
Short term Borrowings,Borrowings,24.38,1.3,6.99,12.63,43.43,60.0,60.0,0.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,1.58,2.99,2.88,3.23,3.44,5.2
Other Borrowings,Borrowings,0.0,0.0,-0.01,0.01,-0.01,0.0,-0.01,0.0,0.0,0.01,0.0,0.0
Trade Payables,Other Liabilities,154.0,155.0,151.0,178.0,218.0,242.0,263.0,279.0,314.0,343.0,372.0,441.0
Advance from Customers,Other Liabilities,59.0,53.0,46.0,50.0,94.0,140.0,139.0,124.0,191.0,205.0,245.0,369.0
Other liability items,Other Liabilities,119.0,139.0,124.0,126.0,137.0,165.0,186.0,193.0,173.0,212.0,242.0,298.0
Inventories,Other Assets,202.0,183.0,212.0,248.0,303.0,325.0,361.0,423.0,561.0,643.0,643.0,786.0
Trade receivables,Other Assets,179.0,178.0,163.0,255.0,291.0,296.0,267.0,278.0,404.0,492.0,650.0,869.0
Cash Equivalents,Other Assets,179.0,228.0,202.0,91.0,139.0,290.0,403.0,355.0,261.0,275.0,323.0,283.0
Loans n Advances,Other Assets,10.0,10.0,19.0,3.0,1.0,4.0,1.0,0.0,2.0,1.0,5.0,5.0
Other asset items,Other Assets,93.0,91.0,103.0,110.0,132.0,115.0,98.0,134.0,148.0,125.0,146.0,199.0
