,parent_line_item,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,281.0,282.0,285.0,278.0,271.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
Reserves,,23943.0,27109.0,32664.0,36108.0,41095.0,50724.0,59370.0,61371.0,64862.0,67720.0,69112.0,74622.0
Borrowings,,648.0,1090.0,582.0,557.0,4195.0,7986.0,6864.0,6343.0,4794.0,5756.0,6276.0,5215.0
Other Liabilities,,10372.0,10859.0,12231.0,11046.0,12788.0,23566.0,19270.0,20664.0,23051.0,24987.0,28549.0,34732.0
Total Liabilities,,35245.0,39341.0,45762.0,47989.0,58349.0,82819.0,86047.0,88921.0,93250.0,99006.0,104480.0,115112.0
Fixed Assets,,8275.0,9716.0,15235.0,18753.0,22888.0,37490.0,37145.0,35077.0,34619.0,35063.0,36172.0,37297.0
CWIP,,552.0,611.0,448.0,320.0,235.0,400.0,312.0,129.0,40.0,108.0,59.0,142.0
Investments,,869.0,698.0,1306.0,2660.0,2305.0,7066.0,6862.0,6351.0,5495.0,7137.0,7564.0,7090.0
Other Assets,,25548.0,28315.0,28773.0,26256.0,32921.0,37863.0,41728.0,47364.0,53096.0,56698.0,60685.0,70583.0
Total Assets,,35245.0,39341.0,45762.0,47989.0,58349.0,82819.0,86047.0,88921.0,93250.0,99006.0,104480.0,115112.0
Land,Fixed Assets,360.0,55.0,55.0,55.0,74.0,373.0,356.0,415.0,410.0,405.0,406.0,403.0
Building,Fixed Assets,2124.0,2185.0,2581.0,2827.0,2996.0,5947.0,5246.0,5202.0,5064.0,5614.0,6233.0,6455.0
Plant Machinery,Fixed Assets,1267.0,1381.0,1464.0,1565.0,1692.0,1789.0,1859.0,1946.0,1952.0,2165.0,2268.0,2460.0
Equipments,Fixed Assets,242.0,252.0,270.0,296.0,340.0,363.0,373.0,385.0,384.0,429.0,444.0,471.0
Computers,Fixed Assets,2587.0,3013.0,3512.0,4277.0,5538.0,6523.0,6433.0,6972.0,8256.0,8653.0,9226.0,10345.0
Furniture n fittings,Fixed Assets,691.0,698.0,701.0,718.0,828.0,884.0,925.0,939.0,952.0,985.0,1065.0,1148.0
Vehicles,Fixed Assets,99.0,105.0,110.0,119.0,127.0,143.0,144.0,143.0,158.0,206.0,218.0,243.0
Intangible Assets,Fixed Assets,4974.0,5895.0,10871.0,14268.0,18274.0,24507.0,26221.0,26177.0,27392.0,29013.0,31444.0,33761.0
Other fixed assets,Fixed Assets,0.0,183.0,436.0,514.0,861.0,7340.0,7764.0,7910.0,8023.0,8480.0,9291.0,9749.0
Gross Block,Fixed Assets,12343.0,13767.0,20000.0,24639.0,30730.0,47869.0,49321.0,50089.0,52591.0,55950.0,60595.0,65035.0
Accumulated Depreciation,Fixed Assets,4068.0,4051.0,4765.0,5886.0,7842.0,10379.0,12176.0,15012.0,17972.0,20887.0,24423.0,27738.0
Long term Borrowings,Borrowings,168.0,737.0,383.0,338.0,2977.0,2848.0,3828.0,3923.0,2111.0,2223.0,70.0,37.0
Short term Borrowings,Borrowings,355.0,214.0,55.0,42.0,724.0,1845.0,79.0,62.0,140.0,104.0,2221.0,122.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,2894.0,2594.0,2358.0,2535.0,3429.0,3985.0,5056.0
Other Borrowings,Borrowings,124.0,139.0,144.0,177.0,494.0,399.0,363.0,0.0,8.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,82.0,211.0,173.0,0.0,103.0,154.0,169.0,92.0,-7.0,8.0,18.0,32.0
Trade Payables,Other Liabilities,625.0,703.0,801.0,918.0,1305.0,1166.0,5457.0,6278.0,6428.0,5853.0,6225.0,7706.0
Advance from Customers,Other Liabilities,62.0,47.0,71.0,65.0,3.0,252.0,320.0,222.0,252.0,158.0,204.0,162.0
Other liability items,Other Liabilities,9603.0,9898.0,11186.0,10063.0,11377.0,21994.0,13324.0,14072.0,16378.0,18968.0,22102.0,26832.0
Inventories,Other Assets,158.0,264.0,276.0,172.0,91.0,91.0,94.0,161.0,228.0,185.0,133.0,239.0
Trade receivables,Other Assets,6539.0,7721.0,8301.0,9639.0,11706.0,14131.0,17525.0,20671.0,25506.0,25521.0,25842.0,31541.0
Cash Equivalents,Other Assets,9786.0,9335.0,9044.0,4018.0,7872.0,4976.0,8888.0,12636.0,14724.0,20150.0,21289.0,23425.0
Loans n Advances,Other Assets,459.0,665.0,836.0,998.0,1278.0,1459.0,1506.0,1819.0,1967.0,2124.0,2753.0,2996.0
Other asset items,Other Assets,8607.0,10330.0,10316.0,11429.0,11974.0,17206.0,13715.0,12077.0,10671.0,8718.0,10668.0,12382.0
