,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,48.0,48.0,48.0,48.0
Reserves,,729.0,855.0,983.0,1106.0
Borrowings,,12.0,21.0,27.0,21.0
Other Liabilities,,274.0,347.0,352.0,454.0
Total Liabilities,,1062.0,1270.0,1410.0,1629.0
Fixed Assets,,265.0,591.0,568.0,590.0
CWIP,,251.0,17.0,136.0,220.0
Investments,,132.0,167.0,226.0,300.0
Other Assets,,414.0,495.0,481.0,519.0
Total Assets,,1062.0,1270.0,1410.0,1629.0
Land,Fixed Assets,60.0,64.0,64.0,
Building,Fixed Assets,117.0,173.0,186.0,
Plant Machinery,Fixed Assets,160.0,416.0,436.0,
Equipments,Fixed Assets,3.0,3.0,3.0,
Computers,Fixed Assets,1.0,1.0,1.0,
Furniture n fittings,Fixed Assets,11.0,33.0,33.0,
Vehicles,Fixed Assets,1.0,2.0,3.0,
Intangible Assets,Fixed Assets,31.0,40.0,40.0,56.0
Other fixed assets,Fixed Assets,1.0,26.0,26.0,
Gross Block,Fixed Assets,382.0,758.0,792.0,
Accumulated Depreciation,Fixed Assets,118.0,167.0,225.0,
Long term Borrowings,Borrowings,0.0,1.51,0.88,0.26
Short term Borrowings,Borrowings,0.0,1.57,5.52,1.64
Lease Liabilities,Borrowings,11.85,17.94,20.87,19.23
Other Borrowings,Borrowings,0.01,0.01,0.0,
Trade Payables,Other Liabilities,199.0,229.0,177.0,218.0
Advance from Customers,Other Liabilities,3.0,4.0,4.0,
Other liability items,Other Liabilities,71.0,114.0,172.0,236.0
Inventories,Other Assets,118.0,171.0,154.0,178.0
Trade receivables,Other Assets,200.0,223.0,244.0,286.0
Cash Equivalents,Other Assets,49.0,33.0,37.0,32.0
Loans n Advances,Other Assets,6.0,6.0,6.0,2.0
Other asset items,Other Assets,42.0,63.0,40.0,21.0
