,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.15,0.15,72.0,77.0,77.0
Reserves,,92.0,112.0,81.0,347.0,465.0
Borrowings,,12.0,11.0,38.0,9.0,40.0
Other Liabilities,,149.0,189.0,167.0,377.0,530.0
Total Liabilities,,253.0,312.0,359.0,810.0,1112.0
Fixed Assets,,34.0,40.0,66.0,238.0,267.0
CWIP,,0.0,1.0,2.0,2.0,73.0
Investments,,0.0,31.0,48.0,37.0,19.0
Other Assets,,219.0,241.0,243.0,533.0,754.0
Total Assets,,253.0,312.0,359.0,810.0,1112.0
Land,Fixed Assets,9.0,11.9,31.71,142.06,
Building,Fixed Assets,14.97,15.69,15.83,41.85,
Plant Machinery,Fixed Assets,3.62,4.89,7.27,22.51,
Computers,Fixed Assets,0.13,0.22,0.31,0.57,
Vehicles,Fixed Assets,4.39,5.78,11.48,13.68,
Intangible Assets,Fixed Assets,0.04,0.62,0.62,20.98,37.25
Other fixed assets,Fixed Assets,3.65,4.58,5.45,10.07,
Gross Block,Fixed Assets,35.8,43.68,72.67,251.72,
Accumulated Depreciation,Fixed Assets,1.9,4.19,6.67,13.66,
Long term Borrowings,Borrowings,0.31,0.2,1.3,0.32,6.43
Short term Borrowings,Borrowings,11.21,10.41,36.98,8.58,29.05
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,4.7
Non controlling int,Other Liabilities,68.0,64.0,37.0,169.0,231.0
Trade Payables,Other Liabilities,27.0,53.0,64.0,92.0,164.0
Other liability items,Other Liabilities,54.0,73.0,66.0,116.0,135.0
Inventories,Other Assets,41.0,48.0,23.0,102.0,116.0
Trade receivables,Other Assets,54.0,65.0,79.0,137.0,242.0
Cash Equivalents,Other Assets,68.0,52.0,48.0,210.0,248.0
Loans n Advances,Other Assets,1.0,1.0,3.0,35.0,8.0
Other asset items,Other Assets,55.0,76.0,90.0,50.0,139.0
