,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,2.0,2.0,2.0,26.0,137.0,176.0,176.0
Reserves,,26.0,35.0,69.0,101.0,155.0,819.0,1057.0
Borrowings,,26.0,30.0,17.0,65.0,234.0,234.0,422.0
Other Liabilities,,56.0,45.0,59.0,157.0,235.0,270.0,387.0
Total Liabilities,,111.0,112.0,148.0,348.0,761.0,1498.0,2042.0
Fixed Assets,,8.0,8.0,10.0,18.0,47.0,70.0,255.0
CWIP,,0.0,0.0,0.0,0.0,1.0,0.0,114.0
Investments,,0.0,0.0,0.0,0.0,0.0,9.0,67.0
Other Assets,,103.0,104.0,137.0,329.0,713.0,1419.0,1606.0
Total Assets,,111.0,112.0,148.0,348.0,761.0,1498.0,2042.0
Land,Fixed Assets,2.51,2.51,2.51,2.51,16.34,16.34,
Building,Fixed Assets,0.87,0.87,0.87,0.87,0.68,0.68,
Plant Machinery,Fixed Assets,7.4,8.54,11.83,20.49,34.61,63.86,
Equipments,Fixed Assets,0.12,0.12,0.17,0.24,0.32,0.53,
Computers,Fixed Assets,0.21,0.24,0.36,0.56,0.83,1.2,
Furniture n fittings,Fixed Assets,0.31,0.35,0.51,1.1,1.62,2.37,
Vehicles,Fixed Assets,1.35,1.46,1.87,2.73,4.92,6.97,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,2.85
Other fixed assets,Fixed Assets,0.04,0.05,0.04,0.05,0.01,0.01,
Gross Block,Fixed Assets,12.81,14.14,18.16,28.55,59.33,91.96,
Accumulated Depreciation,Fixed Assets,4.99,6.24,7.95,10.21,12.42,21.78,
Long term Borrowings,Borrowings,1.0,3.0,2.0,44.0,90.0,98.0,247.0
Short term Borrowings,Borrowings,25.0,28.0,16.0,21.0,144.0,136.0,175.0
Other Borrowings,Borrowings,0.0,0.0,-1.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,-2.0,-1.0,5.0
Trade Payables,Other Liabilities,34.0,30.0,35.0,98.0,163.0,167.0,241.0
Advance from Customers,Other Liabilities,0.0,1.0,2.0,19.0,3.0,11.0,
Other liability items,Other Liabilities,22.0,14.0,21.0,40.0,70.0,92.0,141.0
Inventories,Other Assets,2.0,3.0,8.0,10.0,35.0,42.0,33.0
Trade receivables,Other Assets,59.0,51.0,39.0,57.0,104.0,206.0,165.0
Cash Equivalents,Other Assets,9.0,12.0,25.0,92.0,149.0,555.0,335.0
Loans n Advances,Other Assets,1.0,3.0,3.0,5.0,7.0,1.0,298.0
Other asset items,Other Assets,32.0,35.0,62.0,165.0,418.0,615.0,774.0
