,parent_line_item,Mar 2025,Mar 2026
Equity Capital,,117.0,144.0
Reserves,,531.0,1527.0
Borrowings,,83.0,109.0
Other Liabilities,,260.0,590.0
Total Liabilities,,991.0,2369.0
Fixed Assets,,233.0,431.0
CWIP,,63.0,71.0
Investments,,16.0,77.0
Other Assets,,678.0,1790.0
Total Assets,,991.0,2369.0
Land,Fixed Assets,4.0,
Building,Fixed Assets,44.0,
Plant Machinery,Fixed Assets,63.0,
Equipments,Fixed Assets,3.0,
Computers,Fixed Assets,1.0,
Furniture n fittings,Fixed Assets,14.0,
Vehicles,Fixed Assets,11.0,
Intangible Assets,Fixed Assets,131.0,173.0
Other fixed assets,Fixed Assets,4.0,
Gross Block,Fixed Assets,276.0,
Accumulated Depreciation,Fixed Assets,42.0,
Long term Borrowings,Borrowings,15.0,9.0
Short term Borrowings,Borrowings,43.0,25.0
Lease Liabilities,Borrowings,24.0,75.0
Non controlling int,Other Liabilities,18.0,12.0
Trade Payables,Other Liabilities,104.0,192.0
Advance from Customers,Other Liabilities,33.0,
Other liability items,Other Liabilities,106.0,385.0
Inventories,Other Assets,86.0,433.0
Trade receivables,Other Assets,271.0,240.0
Cash Equivalents,Other Assets,136.0,397.0
Loans n Advances,Other Assets,62.0,144.0
Other asset items,Other Assets,123.0,577.0
