,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.02,10.0,10.0,35.0,35.0,35.0
Reserves,,37.0,98.0,213.0,302.0,468.0,550.0
Borrowings,,1.0,0.0,0.0,0.0,0.0,2.0
Other Liabilities,,52.0,65.0,83.0,251.0,374.0,289.0
Total Liabilities,,90.0,172.0,307.0,588.0,878.0,876.0
Fixed Assets,,27.0,27.0,26.0,128.0,93.0,120.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,18.0,67.0,106.0,143.0,38.0,31.0
Other Assets,,45.0,79.0,175.0,317.0,747.0,724.0
Total Assets,,90.0,172.0,307.0,588.0,878.0,876.0
Land,Fixed Assets,4.0,4.0,4.0,26.0,26.0,
Building,Fixed Assets,1.0,1.0,1.0,1.0,1.0,
Equipments,Fixed Assets,0.0,0.0,0.0,0.0,0.0,
Computers,Fixed Assets,0.0,0.0,1.0,2.0,2.0,
Furniture n fittings,Fixed Assets,0.0,1.0,1.0,1.0,1.0,
Vehicles,Fixed Assets,0.0,0.0,0.0,1.0,1.0,
Intangible Assets,Fixed Assets,4.0,4.0,4.0,1.0,6.0,69.0
Other fixed assets,Fixed Assets,17.0,18.0,18.0,113.0,118.0,
Gross Block,Fixed Assets,27.0,28.0,30.0,144.0,155.0,
Accumulated Depreciation,Fixed Assets,1.0,1.0,3.0,16.0,62.0,
Long term Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.88
Short term Borrowings,Borrowings,0.51,0.0,0.0,0.0,0.0,0.88
Lease Liabilities,Borrowings,0.08,0.08,0.08,0.08,0.08,0.08
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,8.0
Trade Payables,Other Liabilities,39.0,43.0,53.0,130.0,261.0,234.0
Other liability items,Other Liabilities,13.0,22.0,31.0,121.0,114.0,48.0
Trade receivables,Other Assets,39.0,31.0,27.0,168.0,256.0,239.0
Cash Equivalents,Other Assets,6.0,37.0,110.0,123.0,311.0,165.0
Loans n Advances,Other Assets,0.0,1.0,3.0,0.0,2.0,142.0
Other asset items,Other Assets,0.0,9.0,34.0,26.0,177.0,179.0
