,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,18.0,18.0,18.0,18.0,36.0,60.0,98.0,99.0
Reserves,,81.0,80.0,102.0,136.0,222.0,775.0,2325.0,2935.0
Borrowings,,40.0,139.0,240.0,446.0,676.0,1036.0,1475.0,5197.0
Other Liabilities,,22.0,61.0,49.0,177.0,322.0,564.0,894.0,1651.0
Total Liabilities,,161.0,298.0,409.0,777.0,1255.0,2436.0,4792.0,9882.0
Fixed Assets,,84.0,213.0,244.0,482.0,801.0,979.0,2361.0,4508.0
CWIP,,18.0,1.0,21.0,31.0,0.0,101.0,163.0,918.0
Investments,,0.0,0.0,0.0,0.0,2.0,0.0,4.0,199.0
Other Assets,,59.0,85.0,144.0,264.0,453.0,1355.0,2264.0,4257.0
Total Assets,,161.0,298.0,409.0,777.0,1255.0,2436.0,4792.0,9882.0
Land,Fixed Assets,13.0,47.0,60.0,92.0,131.0,228.0,314.0,
Building,Fixed Assets,0.0,0.0,0.0,80.0,87.0,95.0,102.0,
Plant Machinery,Fixed Assets,80.0,181.0,210.0,351.0,641.0,661.0,1977.0,
Equipments,Fixed Assets,0.0,0.0,0.0,0.0,1.0,1.0,3.0,
Computers,Fixed Assets,0.0,0.0,0.0,1.0,1.0,2.0,4.0,
Furniture n fittings,Fixed Assets,0.0,1.0,2.0,4.0,7.0,11.0,17.0,
Vehicles,Fixed Assets,2.0,1.0,1.0,2.0,4.0,8.0,9.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
Other fixed assets,Fixed Assets,0.0,0.0,1.0,0.0,0.0,81.0,83.0,
Gross Block,Fixed Assets,95.0,231.0,274.0,530.0,872.0,1088.0,2508.0,
Accumulated Depreciation,Fixed Assets,11.0,18.0,31.0,49.0,71.0,108.0,147.0,
Long term Borrowings,Borrowings,33.0,107.0,208.0,289.0,409.0,417.0,862.0,3666.0
Short term Borrowings,Borrowings,2.0,15.0,14.0,48.0,112.0,415.0,264.0,866.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,110.0,154.0,205.0,349.0,665.0
Other Borrowings,Borrowings,6.0,18.0,18.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,206.0,239.0
Trade Payables,Other Liabilities,7.0,42.0,22.0,47.0,227.0,417.0,420.0,458.0
Advance from Customers,Other Liabilities,1.0,0.0,0.0,0.0,0.0,7.0,55.0,
Other liability items,Other Liabilities,15.0,20.0,28.0,130.0,94.0,140.0,212.0,953.0
Inventories,Other Assets,15.0,35.0,40.0,107.0,165.0,334.0,466.0,1449.0
Trade receivables,Other Assets,13.0,28.0,50.0,37.0,147.0,427.0,578.0,740.0
Cash Equivalents,Other Assets,2.0,10.0,22.0,26.0,52.0,170.0,597.0,559.0
Loans n Advances,Other Assets,0.0,0.0,0.0,69.0,42.0,351.0,362.0,214.0
Other asset items,Other Assets,28.0,11.0,32.0,26.0,46.0,73.0,259.0,1294.0
