,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.05,57.0,116.0,129.0,235.0,292.0,294.0,367.0,401.0
Reserves,,2.0,-8.0,-20.0,-86.0,572.0,794.0,1051.0,1600.0,1306.0
Borrowings,,956.0,1154.0,1085.0,1411.0,904.0,595.0,174.0,181.0,88.0
Other Liabilities,,551.0,698.0,1158.0,1239.0,410.0,433.0,564.0,339.0,317.0
Total Liabilities,,1509.0,1902.0,2340.0,2693.0,2121.0,2113.0,2083.0,2487.0,2113.0
Fixed Assets,,500.0,512.0,776.0,765.0,953.0,1095.0,755.0,704.0,15.0
CWIP,,10.0,59.0,26.0,251.0,133.0,7.0,7.0,7.0,6.0
Investments,,0.0,71.0,72.0,33.0,33.0,0.0,0.0,446.0,550.0
Other Assets,,999.0,1260.0,1465.0,1645.0,1002.0,1011.0,1320.0,1330.0,1542.0
Total Assets,,1509.0,1902.0,2340.0,2693.0,2121.0,2113.0,2083.0,2487.0,2113.0
Land,Fixed Assets,9.1,35.25,50.9,13.61,12.86,15.26,11.26,11.26,
Building,Fixed Assets,20.44,0.0,0.0,49.29,83.29,84.85,84.85,84.85,
Plant Machinery,Fixed Assets,497.12,531.62,816.55,840.52,1045.72,1238.23,945.73,947.55,
Equipments,Fixed Assets,1.27,1.43,1.44,1.48,1.49,1.84,2.1,2.58,
Furniture n fittings,Fixed Assets,2.04,2.06,2.17,2.17,2.17,2.33,2.35,2.35,
Vehicles,Fixed Assets,0.03,0.03,0.03,0.03,0.03,0.96,0.98,1.08,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,10.11,10.14,10.14,10.14
Other fixed assets,Fixed Assets,0.41,0.4,4.07,4.07,4.07,4.08,4.1,4.09,
Gross Block,Fixed Assets,530.41,570.79,875.16,911.17,1149.63,1357.66,1061.51,1063.9,
Accumulated Depreciation,Fixed Assets,30.73,58.78,99.24,146.65,196.65,262.43,306.31,359.52,
Long term Borrowings,Borrowings,549.0,526.0,302.0,349.0,319.0,264.0,5.0,0.0,0.0
Short term Borrowings,Borrowings,159.0,628.0,782.0,1062.0,585.0,331.0,169.0,181.0,88.0
Other Borrowings,Borrowings,249.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,-0.0,-0.0,0.0,0.0,5.0,5.0,7.0,8.0
Trade Payables,Other Liabilities,326.0,378.0,411.0,519.0,80.0,109.0,56.0,55.0,96.0
Advance from Customers,Other Liabilities,41.0,97.0,282.0,318.0,21.0,20.0,58.0,18.0,
Other liability items,Other Liabilities,184.0,224.0,466.0,401.0,309.0,298.0,445.0,259.0,213.0
Inventories,Other Assets,281.0,415.0,359.0,355.0,21.0,31.0,71.0,97.0,102.0
Trade receivables,Other Assets,244.0,185.0,250.0,223.0,68.0,93.0,131.0,180.0,166.0
Cash Equivalents,Other Assets,45.0,10.0,18.0,130.0,110.0,47.0,15.0,48.0,505.0
Loans n Advances,Other Assets,85.0,147.0,177.0,211.0,71.0,59.0,124.0,385.0,468.0
Other asset items,Other Assets,345.0,503.0,661.0,726.0,731.0,780.0,979.0,619.0,301.0
