,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,5.0,5.0,24.0,24.0,32.0,32.0,32.0,33.0,38.0,44.0,44.0
Reserves,,21.0,29.0,49.0,134.0,161.0,248.0,415.0,973.0,1708.0,2290.0,2591.0
Borrowings,,21.0,31.0,32.0,106.0,126.0,119.0,201.0,202.0,403.0,513.0,695.0
Other Liabilities,,36.0,40.0,55.0,78.0,141.0,462.0,782.0,632.0,719.0,933.0,1260.0
Total Liabilities,,82.0,104.0,160.0,343.0,460.0,861.0,1429.0,1839.0,2868.0,3780.0,4590.0
Fixed Assets,,8.0,8.0,8.0,35.0,33.0,38.0,53.0,63.0,76.0,74.0,65.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,3.0,0.0
Investments,,2.0,25.0,39.0,42.0,36.0,67.0,8.0,6.0,149.0,355.0,228.0
Other Assets,,73.0,71.0,112.0,265.0,391.0,756.0,1358.0,1769.0,2643.0,3350.0,4296.0
Total Assets,,82.0,104.0,160.0,343.0,460.0,861.0,1429.0,1839.0,2868.0,3780.0,4590.0
Land,Fixed Assets,4.9,4.9,4.08,4.26,4.26,4.26,0.0,0.0,0.0,0.0,
Building,Fixed Assets,0.0,0.0,0.0,25.98,25.98,29.44,41.5,52.32,60.8,63.74,
Plant Machinery,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.19,1.49,1.97,
Equipments,Fixed Assets,0.28,0.41,0.46,0.88,1.03,1.22,1.27,1.52,1.95,2.18,
Computers,Fixed Assets,1.2,5.94,8.06,11.3,13.33,12.47,22.29,29.49,37.01,42.7,
Furniture n fittings,Fixed Assets,0.02,0.54,0.59,1.47,1.56,1.15,4.21,5.93,8.57,11.09,
Vehicles,Fixed Assets,0.83,1.89,2.54,2.92,3.12,3.19,4.09,3.61,6.72,6.73,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75
Other fixed assets,Fixed Assets,0.33,1.72,1.73,1.88,2.05,1.99,8.23,8.79,11.76,14.1,
Gross Block,Fixed Assets,7.56,15.4,17.46,48.69,51.33,53.72,82.61,102.85,128.3,142.51,
Accumulated Depreciation,Fixed Assets,0.0,7.14,9.21,13.49,17.96,15.88,29.32,40.14,52.55,68.61,
Long term Borrowings,Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,,30.0,31.0,106.0,125.0,0.0,0.0,0.0,0.0,0.0,671.0
Lease Liabilities,Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Other Borrowings,Borrowings,21.0,0.0,0.0,0.0,0.0,119.0,201.0,202.0,403.0,513.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,14.0,15.0,20.0
Trade Payables,Other Liabilities,18.0,23.0,37.0,53.0,84.0,321.0,655.0,349.0,359.0,413.0,579.0
Advance from Customers,Other Liabilities,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,17.0,17.0,17.0,24.0,58.0,141.0,115.0,269.0,345.0,505.0,661.0
Inventories,Other Assets,2.0,4.0,8.0,21.0,16.0,65.0,45.0,45.0,104.0,175.0,0.0
Trade receivables,Other Assets,18.0,16.0,20.0,13.0,9.0,2.0,6.0,32.0,12.0,26.0,37.0
Cash Equivalents,Other Assets,33.0,33.0,54.0,117.0,199.0,307.0,806.0,1403.0,2018.0,2460.0,3130.0
Loans n Advances,Other Assets,4.0,1.0,1.0,16.0,19.0,33.0,19.0,21.0,23.0,36.0,712.0
Other asset items,Other Assets,15.0,17.0,30.0,99.0,148.0,349.0,482.0,268.0,486.0,653.0,418.0
