,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,14.0,16.0,16.0,16.0,16.0,66.0,66.0,86.0,96.0,96.0
Reserves,,29.0,41.0,39.0,38.0,56.0,51.0,117.0,788.0,1509.0,1684.0
Borrowings,,85.0,125.0,175.0,194.0,193.0,264.0,267.0,85.0,12.0,264.0
Other Liabilities,,10.0,11.0,26.0,39.0,43.0,45.0,36.0,60.0,114.0,237.0
Total Liabilities,,138.0,193.0,257.0,287.0,309.0,426.0,486.0,1019.0,1731.0,2282.0
Fixed Assets,,54.0,53.0,164.0,189.0,251.0,303.0,299.0,442.0,605.0,1250.0
CWIP,,64.0,110.0,65.0,62.0,0.0,0.0,0.0,0.0,222.0,102.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,2.0
Other Assets,,20.0,30.0,27.0,36.0,58.0,123.0,187.0,577.0,829.0,928.0
Total Assets,,138.0,193.0,257.0,287.0,309.0,426.0,486.0,1019.0,1731.0,2282.0
Land,Fixed Assets,4.0,4.0,18.0,18.0,18.0,21.0,21.0,21.0,49.0,
Building,Fixed Assets,32.0,32.0,101.0,128.0,178.0,204.0,209.0,293.0,307.0,
Plant Machinery,Fixed Assets,33.0,33.0,54.0,64.0,87.0,108.0,122.0,206.0,308.0,
Equipments,Fixed Assets,1.0,1.0,30.0,39.0,44.0,61.0,63.0,63.0,85.0,
Computers,Fixed Assets,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Furniture n fittings,Fixed Assets,1.0,1.0,1.0,3.0,5.0,8.0,9.0,12.0,16.0,
Vehicles,Fixed Assets,2.0,3.0,4.0,4.0,6.0,8.0,9.0,11.0,16.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,40.0,40.0,60.0,105.0,306.0
Other fixed assets,Fixed Assets,12.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gross Block,Fixed Assets,85.0,90.0,209.0,256.0,338.0,449.0,472.0,666.0,886.0,
Accumulated Depreciation,Fixed Assets,31.0,37.0,45.0,66.0,87.0,146.0,173.0,224.0,281.0,
Long term Borrowings,Borrowings,85.0,125.0,146.0,157.0,164.0,207.0,201.0,75.0,1.0,227.0
Short term Borrowings,Borrowings,0.0,0.0,19.0,27.0,22.0,51.0,63.0,8.0,3.0,26.0
Lease Liabilities,Borrowings,0.0,0.0,11.0,9.0,7.0,6.0,4.0,2.0,7.0,11.0
Other Borrowings,Borrowings,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,3.0,8.0,8.0,0.0,0.0,0.0,32.0,27.0
Trade Payables,Other Liabilities,5.0,5.0,13.0,14.0,17.0,20.0,17.0,29.0,29.0,110.0
Advance from Customers,Other Liabilities,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,
Other liability items,Other Liabilities,5.0,6.0,10.0,18.0,18.0,24.0,18.0,31.0,52.0,100.0
Inventories,Other Assets,2.0,2.0,2.0,3.0,3.0,5.0,6.0,8.0,21.0,21.0
Trade receivables,Other Assets,11.0,9.0,12.0,17.0,37.0,86.0,108.0,227.0,302.0,375.0
Cash Equivalents,Other Assets,2.0,12.0,0.0,2.0,5.0,12.0,38.0,239.0,441.0,263.0
Loans n Advances,Other Assets,4.0,4.0,3.0,5.0,3.0,3.0,11.0,15.0,3.0,133.0
Other asset items,Other Assets,0.0,3.0,10.0,10.0,10.0,17.0,24.0,89.0,63.0,136.0
