,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,15.0,15.0,15.0,15.0,15.0,15.0,21.0,22.0,23.0,26.0,27.0
Reserves,,-11.0,-6.0,-5.0,-4.0,27.0,60.0,119.0,292.0,442.0,1187.0,1477.0
Borrowings,,9.0,37.0,35.0,41.0,0.0,9.0,74.0,149.0,215.0,286.0,225.0
Other Liabilities,,56.0,71.0,15.0,45.0,115.0,53.0,128.0,288.0,118.0,300.0,1113.0
Total Liabilities,,70.0,118.0,60.0,97.0,159.0,138.0,341.0,752.0,798.0,1799.0,2843.0
Fixed Assets,,16.0,15.0,15.0,14.0,15.0,22.0,87.0,147.0,204.0,345.0,212.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,17.0,18.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,74.0,31.0,0.0
Other Assets,,54.0,103.0,45.0,83.0,143.0,116.0,181.0,529.0,512.0,1406.0,2613.0
Total Assets,,70.0,118.0,60.0,97.0,159.0,138.0,341.0,752.0,798.0,1799.0,2843.0
Land,Fixed Assets,9.0,9.0,9.0,9.0,9.0,16.0,15.0,40.0,40.0,39.0,39.0
Building,Fixed Assets,3.0,3.0,3.0,2.0,2.0,3.0,3.0,36.0,36.0,48.0,55.0
Plant Machinery,Fixed Assets,12.0,12.0,12.0,2.0,3.0,4.0,70.0,73.0,80.0,108.0,109.0
Equipments,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0
Furniture n fittings,Fixed Assets,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0
Vehicles,Fixed Assets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,64.0,156.0,13.0
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other fixed assets,Fixed Assets,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,2.0,12.0,10.0
Gross Block,Fixed Assets,27.0,28.0,28.0,15.0,17.0,25.0,90.0,153.0,224.0,374.0,238.0
Accumulated Depreciation,Fixed Assets,12.0,13.0,13.0,1.0,2.0,3.0,3.0,6.0,19.0,28.0,26.0
Long term Borrowings,Borrowings,0.0,0.0,35.0,41.0,0.0,0.0,0.0,40.0,53.0,92.0,29.0
Short term Borrowings,Borrowings,9.0,37.0,0.0,0.0,0.0,2.0,0.0,41.0,64.0,80.0,133.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,7.0,74.0,68.0,97.0,114.0,63.0
Other Borrowings,Borrowings,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,4.0
Trade Payables,Other Liabilities,49.0,63.0,8.0,41.0,101.0,41.0,100.0,193.0,54.0,172.0,464.0
Advance from Customers,Other Liabilities,0.0,6.0,0.0,1.0,9.0,0.0,0.0,13.0,6.0,16.0,211.0
Other liability items,Other Liabilities,7.0,2.0,6.0,2.0,5.0,12.0,27.0,83.0,59.0,113.0,434.0
Inventories,Other Assets,1.0,1.0,1.0,5.0,8.0,3.0,5.0,11.0,7.0,7.0,76.0
Trade receivables,Other Assets,50.0,80.0,9.0,37.0,88.0,72.0,93.0,245.0,306.0,677.0,886.0
Cash Equivalents,Other Assets,1.0,0.0,1.0,1.0,4.0,21.0,17.0,10.0,48.0,352.0,393.0
Loans n Advances,Other Assets,1.0,17.0,28.0,37.0,32.0,4.0,48.0,180.0,71.0,95.0,120.0
Other asset items,Other Assets,2.0,4.0,6.0,4.0,12.0,16.0,17.0,82.0,80.0,275.0,1137.0
