,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,2.0,2.0,2.0,12.0,13.0,13.0
Reserves,,89.0,118.0,202.0,633.0,1381.0,1516.0
Borrowings,,88.0,197.0,301.0,39.0,263.0,474.0
Other Liabilities,,77.0,87.0,85.0,113.0,204.0,197.0
Total Liabilities,,256.0,404.0,589.0,797.0,1861.0,2200.0
Fixed Assets,,121.0,144.0,217.0,257.0,436.0,779.0
CWIP,,0.0,24.0,38.0,45.0,80.0,257.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,135.0,236.0,335.0,494.0,1345.0,1164.0
Total Assets,,256.0,404.0,589.0,797.0,1861.0,2200.0
Land,Fixed Assets,8.26,8.26,8.26,4.19,49.03,
Building,Fixed Assets,9.45,9.99,11.83,13.93,45.74,
Plant Machinery,Fixed Assets,99.03,129.97,211.07,264.83,383.74,
Equipments,Fixed Assets,1.39,2.14,3.68,4.95,8.31,
Computers,Fixed Assets,1.41,2.28,2.93,4.36,5.19,
Furniture n fittings,Fixed Assets,4.98,5.86,7.2,10.03,15.15,
Vehicles,Fixed Assets,4.64,5.85,7.42,10.3,12.3,
Other fixed assets,Fixed Assets,0.79,2.24,3.03,3.98,5.35,
Gross Block,Fixed Assets,129.95,166.59,255.42,316.57,524.81,
Accumulated Depreciation,Fixed Assets,8.87,22.19,38.77,59.3,88.78,
Long term Borrowings,Borrowings,41.0,123.0,221.0,27.0,171.0,281.0
Short term Borrowings,Borrowings,46.0,75.0,80.0,10.0,73.0,176.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,2.0,20.0,18.0
Preference Capital,Borrowings,4.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,-4.0,0.0,0.0,0.0,-0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,-1.0,-0.0
Trade Payables,Other Liabilities,37.0,43.0,48.0,50.0,80.0,85.0
Advance from Customers,Other Liabilities,13.0,2.0,2.0,3.0,4.0,
Other liability items,Other Liabilities,27.0,43.0,35.0,59.0,120.0,112.0
Inventories,Other Assets,34.0,57.0,86.0,133.0,189.0,329.0
Trade receivables,Other Assets,53.0,75.0,119.0,170.0,223.0,312.0
Cash Equivalents,Other Assets,17.0,18.0,53.0,59.0,697.0,185.0
Loans n Advances,Other Assets,11.0,10.0,15.0,16.0,27.0,41.0
Other asset items,Other Assets,20.0,76.0,62.0,116.0,209.0,298.0
