,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.01,0.02,0.02,0.02,0.02,49.0,146.0
Reserves,,631.0,454.0,1551.0,1339.0,1292.0,1746.0,1997.0
Borrowings,,0.0,0.0,0.0,102.0,104.0,120.0,136.0
Other Liabilities,,182.0,193.0,243.0,195.0,248.0,294.0,439.0
Total Liabilities,,813.0,647.0,1794.0,1636.0,1645.0,2210.0,2718.0
Fixed Assets,,126.0,92.0,87.0,121.0,117.0,127.0,158.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,479.0,371.0,922.0,1009.0,762.0,1091.0,1262.0
Other Assets,,208.0,185.0,785.0,506.0,766.0,992.0,1298.0
Total Assets,,813.0,647.0,1794.0,1636.0,1645.0,2210.0,2718.0
Building,Fixed Assets,1.0,115.0,122.0,5.0,8.0,15.0,220.0
Plant Machinery,Fixed Assets,0.0,0.0,2.0,5.0,7.0,5.0,8.0
Equipments,Fixed Assets,1.0,2.0,3.0,5.0,5.0,5.0,7.0
Computers,Fixed Assets,8.0,12.0,16.0,19.0,17.0,17.0,27.0
Furniture n fittings,Fixed Assets,0.0,1.0,1.0,2.0,2.0,2.0,2.0
Other fixed assets,Fixed Assets,138.0,2.0,2.0,140.0,143.0,160.0,4.0
Gross Block,Fixed Assets,149.0,130.0,146.0,175.0,183.0,205.0,267.0
Accumulated Depreciation,Fixed Assets,23.0,39.0,59.0,55.0,66.0,78.0,109.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,102.0,104.0,120.0,136.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,32.0,48.0,77.0,91.0,93.0,110.0,179.0
Advance from Customers,Other Liabilities,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,144.0,145.0,166.0,104.0,156.0,184.0,260.0
Inventories,Other Assets,14.0,12.0,23.0,20.0,35.0,51.0,90.0
Trade receivables,Other Assets,1.0,3.0,7.0,11.0,20.0,27.0,38.0
Cash Equivalents,Other Assets,153.0,128.0,674.0,324.0,521.0,591.0,532.0
Loans n Advances,Other Assets,6.0,8.0,6.0,6.0,9.0,14.0,21.0
Other asset items,Other Assets,34.0,33.0,76.0,146.0,180.0,310.0,617.0
