,parent_line_item,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,78.0
Reserves,,1082.0,378.0,510.0,546.0,498.0,362.0,237.0,84.0,-5.0,486.0,729.0,2011.0
Borrowings,,1037.0,1571.0,1339.0,1637.0,2419.0,3371.0,3904.0,4102.0,4892.0,4859.0,4879.0,5717.0
Other Liabilities,,1229.0,1366.0,1422.0,1226.0,899.0,1205.0,1159.0,1422.0,1826.0,1744.0,2838.0,2844.0
Total Liabilities,,3379.0,3345.0,3301.0,3439.0,3846.0,4969.0,5329.0,5638.0,6743.0,7120.0,8476.0,10649.0
Fixed Assets,,2138.0,2322.0,2247.0,2264.0,2445.0,2926.0,2973.0,2895.0,3067.0,2990.0,3984.0,4475.0
CWIP,,44.0,51.0,20.0,55.0,63.0,47.0,30.0,28.0,152.0,260.0,194.0,66.0
Investments,,86.0,89.0,4.0,4.0,4.0,4.0,0.0,0.0,131.0,153.0,158.0,236.0
Other Assets,,1111.0,883.0,1030.0,1116.0,1334.0,1992.0,2327.0,2715.0,3393.0,3718.0,4140.0,5872.0
Total Assets,,3379.0,3345.0,3301.0,3439.0,3846.0,4969.0,5329.0,5638.0,6743.0,7120.0,8476.0,10649.0
Land,Fixed Assets,0.0,0.0,0.0,0.0,0.0,518.0,717.0,725.0,849.0,820.0,808.0,
Building,Fixed Assets,573.0,464.0,429.0,445.0,637.0,456.0,481.0,484.0,487.0,510.0,517.0,
Plant Machinery,Fixed Assets,1171.0,939.0,900.0,1030.0,1070.0,1175.0,1279.0,1409.0,1645.0,1744.0,1812.0,
Equipments,Fixed Assets,33.0,83.0,84.0,97.0,110.0,117.0,121.0,109.0,140.0,148.0,153.0,
Computers,Fixed Assets,0.0,0.0,0.0,0.0,0.0,93.0,141.0,168.0,172.0,178.0,20.0,
Furniture n fittings,Fixed Assets,33.0,35.0,35.0,48.0,56.0,63.0,66.0,60.0,75.0,75.0,76.0,
Vehicles,Fixed Assets,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,7.0,11.0,26.0,
Intangible Assets,Fixed Assets,1091.0,980.0,981.0,986.0,1041.0,1090.0,1081.0,1109.0,1180.0,1193.0,2171.0,3190.0
Other fixed assets,Fixed Assets,379.0,819.0,900.0,1000.0,1071.0,1311.0,1467.0,1594.0,1770.0,1911.0,1978.0,
Gross Block,Fixed Assets,3286.0,3324.0,3332.0,3611.0,3989.0,4827.0,5359.0,5662.0,6325.0,6592.0,7560.0,
Accumulated Depreciation,Fixed Assets,1148.0,1001.0,1085.0,1347.0,1545.0,1902.0,2386.0,2767.0,3258.0,3603.0,3576.0,
Long term Borrowings,Borrowings,577.0,556.0,1011.0,927.0,1189.0,1074.0,695.0,1035.0,3472.0,3152.0,686.0,110.0
Short term Borrowings,Borrowings,242.0,735.0,158.0,354.0,766.0,1184.0,2083.0,2027.0,414.0,778.0,3407.0,4831.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,295.0,921.0,1125.0,1041.0,1006.0,929.0,786.0,776.0
Other Borrowings,Borrowings,218.0,280.0,170.0,357.0,168.0,193.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,154.0,70.0,114.0,123.0,113.0,84.0,80.0,77.0,132.0,260.0,1284.0,457.0
Trade Payables,Other Liabilities,250.0,201.0,130.0,164.0,145.0,197.0,202.0,227.0,225.0,250.0,322.0,367.0
Advance from Customers,Other Liabilities,17.0,33.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,
Other liability items,Other Liabilities,808.0,1062.0,1179.0,939.0,639.0,923.0,874.0,1117.0,1468.0,1234.0,1230.0,2020.0
Inventories,Other Assets,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Trade receivables,Other Assets,376.0,191.0,269.0,345.0,408.0,577.0,221.0,451.0,625.0,395.0,419.0,462.0
Cash Equivalents,Other Assets,62.0,113.0,126.0,92.0,90.0,260.0,378.0,239.0,157.0,142.0,214.0,688.0
Loans n Advances,Other Assets,143.0,31.0,69.0,24.0,103.0,29.0,36.0,70.0,16.0,41.0,-111.0,667.0
Other asset items,Other Assets,530.0,547.0,565.0,654.0,733.0,1125.0,1692.0,1955.0,2595.0,3140.0,3618.0,4055.0
