,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.01,0.01,0.01,0.01,18.0,18.0
Reserves,,271.0,585.0,353.0,311.0,1220.0,1404.0
Borrowings,,394.0,201.0,178.0,184.0,38.0,59.0
Other Liabilities,,99.0,113.0,124.0,159.0,157.0,255.0
Total Liabilities,,765.0,900.0,654.0,654.0,1433.0,1736.0
Fixed Assets,,15.0,21.0,31.0,39.0,45.0,116.0
CWIP,,0.0,0.0,0.0,0.0,0.0,2.0
Investments,,50.0,236.0,211.0,60.0,57.0,50.0
Other Assets,,699.0,642.0,413.0,555.0,1331.0,1567.0
Total Assets,,765.0,900.0,654.0,654.0,1433.0,1736.0
Building,Fixed Assets,5.23,7.25,7.4,7.41,7.51,
Plant Machinery,Fixed Assets,2.66,24.08,33.07,52.45,89.96,
Ships Vessels,Fixed Assets,4.55,0.0,0.0,0.0,0.0,
Equipments,Fixed Assets,1.15,1.19,1.26,1.24,0.59,
Computers,Fixed Assets,10.77,11.57,13.74,7.32,6.11,
Furniture n fittings,Fixed Assets,0.05,0.05,0.05,0.15,0.15,
Vehicles,Fixed Assets,0.0,3.33,1.69,0.62,0.28,
Other fixed assets,Fixed Assets,7.57,14.11,26.26,28.53,27.23,
Gross Block,Fixed Assets,31.98,61.58,83.47,97.72,131.83,
Accumulated Depreciation,Fixed Assets,16.62,40.25,52.73,58.47,86.62,
Long term Borrowings,Borrowings,64.19,12.0,0.0,2.85,15.91,7.45
Short term Borrowings,Borrowings,330.27,187.0,165.84,170.89,13.8,18.43
Lease Liabilities,Borrowings,0.0,2.42,11.71,10.47,8.12,33.33
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.02,
Trade Payables,Other Liabilities,19.0,27.0,16.0,15.0,18.0,38.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,4.0,5.0,
Other liability items,Other Liabilities,80.0,86.0,108.0,140.0,134.0,217.0
Trade receivables,Other Assets,283.0,215.0,127.0,21.0,27.0,27.0
Cash Equivalents,Other Assets,231.0,191.0,172.0,336.0,705.0,638.0
Loans n Advances,Other Assets,0.0,28.0,24.0,27.0,62.0,440.0
Other asset items,Other Assets,185.0,208.0,90.0,170.0,537.0,462.0
