,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,2.0,2.0,11.0,11.0,11.0,12.0,13.0,26.0,31.0,35.0,74.0
Reserves,,156.0,221.0,341.0,396.0,496.0,646.0,1028.0,1078.0,1968.0,2828.0,3399.0
Borrowings,,0.0,0.0,8.0,9.0,8.0,1.0,4.0,38.0,28.0,219.0,215.0
Other Liabilities,,41.0,42.0,105.0,92.0,258.0,359.0,358.0,555.0,727.0,1336.0,683.0
Total Liabilities,,200.0,265.0,465.0,509.0,773.0,1018.0,1404.0,1698.0,2753.0,4418.0,4371.0
Fixed Assets,,2.0,2.0,152.0,137.0,348.0,296.0,424.0,583.0,608.0,1731.0,1473.0
CWIP,,0.0,0.0,1.0,1.0,6.0,2.0,1.0,0.0,0.0,14.0,1.0
Investments,,55.0,77.0,98.0,127.0,58.0,118.0,442.0,332.0,439.0,1312.0,2064.0
Other Assets,,142.0,187.0,214.0,243.0,361.0,601.0,537.0,783.0,1706.0,1362.0,834.0
Total Assets,,200.0,265.0,465.0,509.0,773.0,1018.0,1404.0,1698.0,2753.0,4418.0,4371.0
Building,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,28.0,124.0,
Plant Machinery,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,
Equipments,Fixed Assets,0.0,0.0,1.0,1.0,1.0,15.0,2.0,3.0,4.0,4.0,
Computers,Fixed Assets,5.0,4.0,11.0,16.0,5.0,5.0,6.0,9.0,10.0,18.0,
Furniture n fittings,Fixed Assets,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,
Vehicles,Fixed Assets,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,
Intangible Assets,Fixed Assets,0.0,0.0,103.0,104.0,330.0,310.0,457.0,585.0,677.0,1685.0,1328.0
Other fixed assets,Fixed Assets,0.0,1.0,49.0,47.0,60.0,51.0,60.0,134.0,139.0,238.0,
Gross Block,Fixed Assets,6.0,6.0,165.0,169.0,398.0,383.0,549.0,755.0,861.0,2087.0,
Accumulated Depreciation,Fixed Assets,4.0,5.0,13.0,32.0,50.0,86.0,125.0,172.0,253.0,356.0,
Long term Borrowings,Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,49.0
Short term Borrowings,Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,9.0,49.0,63.0
Lease Liabilities,Borrowings,,0.0,14.0,9.0,8.0,1.0,4.0,8.0,18.0,78.0,103.0
Other Borrowings,Borrowings,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,35.0,32.0,83.0,121.0,157.0,212.0,336.0,374.0,78.0
Trade Payables,Other Liabilities,26.0,24.0,23.0,25.0,69.0,64.0,50.0,198.0,240.0,547.0,376.0
Advance from Customers,Other Liabilities,0.0,1.0,1.0,0.0,0.0,2.0,3.0,8.0,47.0,19.0,
Other liability items,Other Liabilities,15.0,17.0,45.0,35.0,106.0,172.0,148.0,137.0,104.0,395.0,228.0
Inventories,Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,2.0,3.0,3.0
Trade receivables,Other Assets,33.0,26.0,43.0,45.0,68.0,69.0,85.0,186.0,275.0,576.0,376.0
Cash Equivalents,Other Assets,76.0,114.0,117.0,133.0,187.0,372.0,323.0,329.0,1210.0,458.0,255.0
Loans n Advances,Other Assets,3.0,3.0,2.0,3.0,10.0,18.0,16.0,45.0,84.0,98.0,10.0
Other asset items,Other Assets,30.0,44.0,51.0,63.0,96.0,142.0,112.0,198.0,136.0,226.0,189.0
