,parent_line_item,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
Reserves,,2489.0,3626.0,5318.0,7003.0,8891.0,9954.0,11411.0,12581.0,14963.0,18018.0,21269.0,25073.0
Borrowings,,58.0,23.0,112.0,151.0,187.0,249.0,219.0,108.0,288.0,419.0,458.0,514.0
Other Liabilities,,3829.0,1263.0,1552.0,2341.0,2281.0,2220.0,2901.0,3424.0,3919.0,4650.0,5420.0,6549.0
Total Liabilities,,6403.0,4939.0,7009.0,9522.0,11387.0,12450.0,14559.0,16140.0,19198.0,23115.0,27174.0,32164.0
Fixed Assets,,2309.0,790.0,873.0,1502.0,1875.0,2378.0,2433.0,2424.0,2690.0,2914.0,3473.0,4385.0
CWIP,,419.0,94.0,374.0,333.0,450.0,312.0,314.0,505.0,472.0,555.0,491.0,203.0
Investments,,1078.0,3388.0,4987.0,5581.0,4923.0,5749.0,3902.0,7721.0,12321.0,13527.0,14791.0,17496.0
Other Assets,,2597.0,667.0,775.0,2106.0,4140.0,4011.0,7909.0,5490.0,3715.0,6119.0,8419.0,10080.0
Total Assets,,6403.0,4939.0,7009.0,9522.0,11387.0,12450.0,14559.0,16140.0,19198.0,23115.0,27174.0,32164.0
Land,Fixed Assets,,86.0,86.0,86.0,86.0,182.0,232.0,230.0,230.0,227.0,226.0,
Building,Fixed Assets,,177.0,230.0,484.0,644.0,871.0,866.0,867.0,1051.0,1086.0,1396.0,
Plant Machinery,Fixed Assets,,663.0,795.0,1303.0,1548.0,1928.0,2088.0,2336.0,2598.0,2744.0,3055.0,
Equipments,Fixed Assets,,51.0,68.0,110.0,140.0,188.0,204.0,226.0,266.0,231.0,273.0,
Furniture n fittings,Fixed Assets,,11.0,14.0,21.0,28.0,34.0,38.0,37.0,39.0,42.0,44.0,
Vehicles,Fixed Assets,,19.0,30.0,48.0,64.0,81.0,97.0,122.0,137.0,180.0,224.0,
Intangible Assets,Fixed Assets,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1708.0
Other fixed assets,Fixed Assets,,53.0,72.0,93.0,258.0,301.0,523.0,588.0,820.0,1177.0,1501.0,
Gross Block,Fixed Assets,,1061.0,1295.0,2144.0,2767.0,3585.0,4049.0,4405.0,5142.0,5687.0,6718.0,
Accumulated Depreciation,Fixed Assets,,271.0,422.0,643.0,893.0,1208.0,1616.0,1981.0,2452.0,2772.0,3245.0,
Long term Borrowings,Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,163.0,184.0,202.0
Short term Borrowings,Borrowings,,23.0,112.0,151.0,187.0,144.0,157.0,59.0,133.0,112.0,82.0,117.0
Lease Liabilities,Borrowings,,0.0,0.0,0.0,0.0,105.0,62.0,49.0,93.0,144.0,192.0,195.0
Non controlling int,Other Liabilities,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,,723.0,765.0,1172.0,1234.0,1008.0,1513.0,1788.0,1810.0,2090.0,2530.0,2738.0
Advance from Customers,Other Liabilities,,242.0,292.0,141.0,93.0,61.0,137.0,148.0,126.0,0.0,0.0,
Other liability items,Other Liabilities,,298.0,495.0,1029.0,954.0,1151.0,1251.0,1488.0,1982.0,2560.0,2890.0,3811.0
Inventories,Other Assets,,308.0,336.0,395.0,633.0,572.0,875.0,1132.0,1278.0,1410.0,1564.0,1968.0
Trade receivables,Other Assets,,33.0,50.0,68.0,84.0,87.0,158.0,302.0,369.0,374.0,550.0,354.0
Cash Equivalents,Other Assets,,49.0,25.0,1212.0,2965.0,2951.0,5830.0,2722.0,766.0,146.0,263.0,256.0
Loans n Advances,Other Assets,,39.0,39.0,64.0,82.0,99.0,594.0,867.0,835.0,680.0,725.0,3388.0
Other asset items,Other Assets,,237.0,326.0,368.0,375.0,303.0,452.0,466.0,467.0,3509.0,5317.0,4114.0
